KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
YWHAZ	TP53
SLC9A3R1	YAP1
YAP1	CREB1
YWHAZ	HDAC4
HDAC4	ATF2
YWHAZ	COPS5
COPS5	CREB3
YAP1	PTCH1
PTCH1	ATF6B
YAP1	EP300
EP300	ATF4
YWHAZ	CTNNB1
CTNNB1	ELAVL1
ELAVL1	CREB3L2
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
YWHAZ	RFWD2
RFWD2	ETV4
SLC9A3R1	YWHAQ
YWHAQ	HSPA8
HSPA8	ERG
YWHAZ	ENO1
ENO1	E2F4
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
SLC9A3R1	EZR
EZR	BRCA1
PTGS1	PTGS2
PTGS2	TP53
PTGS1	CAV1
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	MAPK1
MAPK1	ATF2
CAV1	MALL
MALL	CREB3
CAV1	PTCH1
PTGS2	EP300
CAV1	CTNNB1
CAV1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
CAV1	TRAF2
TRAF2	CREB5
CAV1	SMAD2
SMAD2	ETV4
PTGS1	CAV2
CAV2	DNAJA1
DNAJA1	ERG
CAV1	AR
AR	E2F4
CTNNB1	SP1
CTNNB1	BRCA1
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
TP53	CCNG1
SP1	MAT2B
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
ERG	VIM
ETV4	VIM
