HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	CREB1
KAT5	ESR1
KAT5	EP300
EP300	NFKB1
KAT5	RELA
MDFI	MYOD1
MYOD1	CREBBP
MDFI	VHL
VHL	HIF1A
EP300	ARNT
KAT5	BRCA1
BRCA1	ATF1
BRCA1	ELK4
KAT5	SRF
MDFI	NAB2
NAB2	TOP1
TOP1	ELK3
KAT5	UBE2I
UBE2I	PPARA
MDFI	PIN1
PIN1	PPARG
EP300	TFAP2A
KAT5	GADD45G
GADD45G	PPARD
KAT5	RB1
RB1	TFDP2
EP300	FOS
KAT5	APP
APP	ELK1
PIN1	SMAD2
SMAD2	ETV4
MDFI	CREB5
CREB5	JUND
PIN1	JUN
EP300	ETS1
PIN1	RARA
MYOD1	STAT3
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
S1PR1	TRIP6
TRIP6	STK16
STK16	ELK1
WWP2	SMAD2
HTR1A	S1PR1
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	ESR1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
GNAI3	XPO1
XPO1	ELAVL1
ELAVL1	ELK4
WWP2	SMAD7
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
NCOA1	PPARA
XPO1	PPARG
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
E2F1	TFDP2
TRIP6	CREB5
CREB5	JUN
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	AJUBA
AJUBA	RARA
GNAI3	GNB2
GNB2	STAT3
CREB1	FOS
TFDP2	CCNE2
TP53	GADD45B
CREBBP	HK3
CREBBP	PFKFB3
CREBBP	TFRC
EP300	HK3
EP300	PFKFB3
EP300	TFRC
HIF1A	HK3
HIF1A	PFKFB3
HIF1A	TFRC
ARNT	HK3
ARNT	PFKFB3
ARNT	TFRC
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
ELK1	FOS
ELK4	FOS
SRF	FOS
NFKB1	GADD45B
RELA	GADD45B
TP53	SERPINB5
TP53	RRM2
TP53	ZMAT3
NFKB1	CEBPG
RELA	CEBPG
HIF1A	ADM
TFAP2A	ADM
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
ELK3	FOS
ESR1	FOS
ETV4	FOS
STAT3	FOS
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
TFAP2A	GPX4
TFAP2A	KRT14
FOS	NQO1
JUND	NQO1
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
