HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
YWHAQ	E2F1
ARRDC3	ADRB2
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	TRAF6
TRAF6	MYD88
ARRDC3	ITCH
ITCH	JUN
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CDK3
CDK3	PPARA
ARRDC3	NEDD4
NEDD4	PPARG
ITCH	TP53
ARRB2	CSNK2A1
CSNK2A1	ATF1
TP53	ETS1
ARRB2	XRCC6
XRCC6	POU2F1
TRIM28	IRF7
ARRB2	CAPN1
CAPN1	HIF1A
MAPK1	CEBPB
TP53	ETS2
ARRB2	NONO
NONO	SPI1
MAPK1	ATF2
E2F1	CCNE2
E2F2	CCNE2
E2F3	CCNE2
CREB1	PCNA
ATF2	PCNA
HIF1A	FIGF
MYD88	IL1B
NFKB1	IL1B
RELA	IL1B
NFKB1	FIGF
RELA	FIGF
ETS1	FIGF
FOS	FIGF
JUN	FIGF
FOS	IL1B
IRF7	IFNA17
JUN	IL1B
MYD88	IFNA17
SP1	CDK1
POU2F1	ALDOC
PPARA	APOB
ATF1	BRCA1
CREB1	BRCA1
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDK1
ETS2	CDK1
ATF1	IL1B
CEBPB	IL1B
CREB1	IL1B
SP1	IL1B
SPI1	IL1B
PPARA	LIPA
PPARG	LIPA
HIF1A	NR4A1
RELA	NR4A1
E2F4	PCNA
TP53	PCNA
E2F4	RBL1
CREB1	REN
ETS1	VWF
ETS2	VWF
NFKB1	VWF
POU2F1	VWF
