HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	E2F4
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	MAPK8
MAPK8	MYC
MAPK8	PAX2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	HSPA4
HSPA4	NFKB1
SMAD3	JUN
CBL	EGFR
EGFR	STAT1
CBL	HSPA8
HSPA8	RELA
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
CTNNB1	BRCA1
BRCA1	FLI1
EP300	MYB
EGFR	STAT3
SMAD3	FOS
SMAD3	RBL1
RBL1	TFDP2
CTNNB1	HIF1A
EP300	ETS2
CBL	YWHAQ
YWHAQ	E2F1
EP300	PAX8
GRB2	BCAR1
BCAR1	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
CBL	ABL1
ABL1	CREB1
ADRA2A	UCHL1
UCHL1	CTNNB1
UCHL1	TP53
ADRA2A	GNAI2
GNAI2	GNAI3
GNAI3	XPO1
XPO1	E2F4
GNAI2	NPM1
NPM1	TFAP2A
UCHL1	CDK4
CDK4	MYC
NPM1	BRCA1
BRCA1	PAX2
UCHL1	HSP90AA1
UCHL1	COPS5
COPS5	NFKB1
GNAI2	ITCH
ITCH	JUN
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
NPM1	RELA
GNAI2	PLSCR1
PLSCR1	DAZAP2
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
GNAI2	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
GNAI2	MDFI
MDFI	PIDD1
PIDD1	TEAD3
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	FLI1
UCHL1	UBE2I
UBE2I	MYB
MTOR	STAT3
UBE2I	FOS
GNAI2	NUCB1
NUCB1	RBL1
TP53	ETS2
UCHL1	UBC
UBC	E2F1
NPM1	RB1
RB1	PAX8
GNAI2	TRIP6
TRIP6	BCAR1
RBL1	E2F3
TP53	CREB1
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
CALM1	AR
AR	E2F4
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
ESR1	MYC
DLG4	LRP2
LRP2	MAPK8IP1
MAPK8IP1	PAX2
CALM1	HSP90AA1
CALM1	DCUN1D1
DCUN1D1	NFKB1
DLG4	MDM2
MDM2	JUN
HTR2C	MPDZ
MPDZ	KIT
KIT	STAT1
MDM2	RELA
DLG4	HGS
HGS	DAZAP2
DAZAP2	LEF1
AR	TCF7L2
DAZAP2	TCF7L1
ERBB4	YAP1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
YAP1	TEAD3
CALM1	ITPR1
ITPR1	BRCA1
ERBB4	TRIM28
TRIM28	MYB
DLG4	ERBB2
ERBB2	STAT3
DLG4	KCNA4
KCNA4	SIRT1
SIRT1	FOS
MDM2	RB1
RB1	TFDP2
MDM2	HIF1A
MDM2	E2F1
MDM2	EP300
DLG4	PTK2B
PTK2B	BCAR1
TRIM28	E2F3
CALM1	AKT1
AKT1	CREB1
OPRK1	SIAH1
