HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	GRB2
GRB2	EP300
EP300	ATF4
CBL	SMAD3
SMAD3	ATF2
CBL	CTNNB1
CTNNB1	COPS5
COPS5	CREB3
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	RBM33
RBM33	ATF6B
GRB2	KRT15
KRT15	CREB5
SMAD3	E2F4
CTNNB1	BRCA1
CTNNB1	SP1
CBL	MAPK8
MAPK8	HSF1
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
FLNA	LMNA
LMNA	PML
PML	ATF2
DRD2	EPB41L1
EPB41L1	COPS5
FLNA	REL
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
FLNA	ILF2
ILF2	MOV10
MOV10	ATF6B
EPB41L1	ITPR1
ITPR1	BRCA1
BRCA1	CREB5
DRD2	CALM1
CALM1	AR
AR	E2F4
PPP1R9B	CDKN2A
CDKN2A	SP1
FLNA	FILIP1
FILIP1	HSF1
DRD3	EPB41L1
COPS5	TP53
DRD3	GIPC1
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
GIPC1	OGT
OGT	RELA
RELA	ATF4
MCM7	RB1
RB1	ATF2
EPB41L1	PSMB5
PSMB5	RND1
RND1	CREB3L2
COPS5	NXF1
NXF1	ATF6B
DRD3	RDX
RDX	ENO1
ENO1	E2F4
RB1	SP1
RDX	HSPA4
HSPA4	HSF1
DRD4	STUB1
STUB1	TP53
DRD4	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
RPA1	PGRMC1
DRD4	GRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	XRCC5
XRCC5	BRCA1
MAPK1	SP1
STUB1	HSF1
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	STX8
STX8	CREB3
CREB3	CREB3L2
AP2M1	CSNK2B
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
AP2M1	EPS15
EPS15	TRAF2
TRAF2	CREB5
BCR	RB1
RB1	E2F4
CSNK2B	BRCA1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	EEF1A1
EEF1A1	CBS
CBS	HSF1
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	CREB1
KAT5	EP300
MDFI	CREB5
CREB5	ATF2
KAT5	HDAC3
HDAC3	CREB3
MDFI	VHL
VHL	ELAVL1
MDFI	PRKAB2
HTR1D	S1PR1
S1PR1	WWP2
WWP2	PTCH1
PTCH1	ATF6B
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
KAT5	BRCA1
VHL	SP1
KAT5	UBE2I
UBE2I	HSF1
ADRA2A	UCHL1
UCHL1	TP53
TP53	CREB1
ADRA2A	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
GNAO1	RGS20
RGS20	RUVBL2
UCHL1	COPS5
UCHL1	CTNNB1
ADRA2A	GNAI2
GNAI2	MDFI
UCHL1	CDK6
CDK6	ATF6B
RGS20	CREB5
GNAI2	GNAI3
GNAI2	NPM1
NPM1	BRCA1
UCHL1	UBE2I
ADRA2B	UCHL1
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
BRCA1	E2F4
ADRA2C	UCHL1
ADRA2C	EIF2B1
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
HTR2C	CALM1
CALM1	AKT1
DLG4	DLG1
DLG1	BTRC
BTRC	ATF4
DLG4	MDM2
MDM2	PML
CALM1	STX8
DLG4	PRKCA
PRKCA	ELAVL1
MDM2	PGRMC1
CALM1	ESR1
ESR1	XBP1
XBP1	ATF6B
MDM2	TRIM23
TRIM23	CREB5
CALM1	ITPR1
ESR1	SP1
CALM1	HSPA4
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
GNAI3	GNAO1
TRIP6	CREB5
TRIP6	SRC
SRC	HDAC3
XPO1	ELAVL1
TRIP6	POM121
POM121	BRCA1
WWP2	SMAD3
SMAD3	SP1
GNAI3	YWHAQ
YWHAQ	HSPB1
HSPB1	HSF1
DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
RANBP9	NR3C1
NR3C1	CREB1
ESR1	EP300
RANBP9	THRB
THRB	ATF2
RANBP9	COPS5
ESR1	BRCA1
RANBP9	AR
RANBP9	UBE2I
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
HSF1	HSPA8
TP53	RRM2
TP53	HSP90AB1
SP1	HSPA8
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
ATF4	PPP1R15A
