DDC	RELA
RELA	NFKB2
RELA	NFKB1
RELA	HDAC2
HDAC2	GLI1
RELA	HDAC1
HDAC1	GLI2
RELA	CREBBP
CREBBP	GLI3
RELA	EP300
EP300	TFAP2A
EP300	MYC
RELA	JUN
EP300	ETS1
RELA	USF2
RELA	RELB
RELA	BRCA1
BRCA1	FLI1
RELA	HSPA8
HSPA8	ERG
NFKB1	BIRC7
RELA	BIRC7
GLI1	WNT4
GLI1	PTCH2
GLI2	WNT4
GLI2	PTCH2
GLI3	WNT4
GLI3	PTCH2
NFKB1	VCAM1
NFKB2	CCL19
NFKB2	CCL21
RELA	VCAM1
RELB	CCL19
RELB	CCL21
NFKB1	TRAF5
NFKB2	TRAF5
NFKB2	BIRC7
RELA	TRAF5
NFKB1	IL1A
NFKB1	IL23A
RELA	IL1A
RELA	IL23A
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
JUN	IVL
ETS1	LCK
ERG	MMP3
ETS1	MMP3
FLI1	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
