HTR2A	CBL
CBL	BAG1
BAG1	RARA
CBL	SMAD3
SMAD3	NCOA1
NCOA1	RARB
CBL	CTNNB1
CTNNB1	SP1
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	RELA
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
SMAD3	JUN
CBL	HSPA4
HSPA4	NFKB1
YWHAZ	AJUBA
AJUBA	RARG
CTNNB1	ESR1
GRB2	TSG101
TSG101	NFKB2
CBL	EGFR
EGFR	STAT3
CTNNB1	PPARD
CBL	MAPK8
MAPK8	MYC
EP300	EGR1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
GRB2	HSP90AA1
HSP90AA1	PPARA
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	REL
REL	RELA
REL	CREBBP
REL	EP300
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
FLNA	RBM39
RBM39	JUN
REL	NFKB1
FLNA	SRRM2
SRRM2	MRPL12
MRPL12	RARG
CALM1	ESR1
REL	NFKB2
PAWR	STAT1
STAT1	STAT3
HSP90AA1	PPARD
EPB41L1	APP
APP	MYC
CDKN2A	EGR1
FLNA	LMNA
LMNA	PML
PML	RXRA
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
CREBBP	ALDOA
CREBBP	GAPDH
CREBBP	HK1
CREBBP	LDHA
CREBBP	SERPINE1
EP300	ALDOA
EP300	GAPDH
EP300	HK1
EP300	LDHA
EP300	SERPINE1
HIF1A	ALDOA
HIF1A	GAPDH
HIF1A	HK1
HIF1A	LDHA
HIF1A	SERPINE1
ARNT	ALDOA
ARNT	GAPDH
ARNT	HK1
ARNT	LDHA
ARNT	SERPINE1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
NFKB2	CCL21
TP53	SERPINE1
TP53	TNFRSF10B
MYC	CKS2
PPARA	ACAA1
PPARD	ILK
RXRA	ACAA1
RXRA	ILK
RXRB	ACAA1
RXRB	ILK
RXRG	ACAA1
RXRG	ILK
JUN	ALDOA
SP1	ALDOA
ESR1	HSPB1
SP1	HSPB1
SP1	LDHA
RARA	MIF
RARB	MIF
RARG	MIF
TP53	PLK1
RELA	S100A6
EGR1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
JUN	TXN
