ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
TP53	EGR1
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
IGF1R	CSK
CSK	JUN
TP53	ETS1
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
ITGB1	PRKCA
PRKCA	PPARG
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	HNRNPK
HNRNPK	CEBPB
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
EP300	USF2
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
IGF1R	ESR1
ESR1	SP3
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	TUBA1A
TUBA1A	MYC
ITGB1	PTK2
PTK2	STAT1
CD44	STAT3
IGFBP3	FN1
FN1	CSNK2A1
CSNK2A1	ATF1
FN1	RBL1
RBL1	E2F4
FN1	SMAD4
SMAD4	ATF2
FN1	UBE2L3
UBE2L3	FOS
IGF1R	MDM2
MDM2	HNF4A
UBL4A	HUWE1
HUWE1	gag-pol
gag-pol	NFAT5
UBL4A	OGT
OGT	NFATC1
FN1	ENO1
ENO1	NFATC3
FN1	YWHAZ
YWHAZ	NFATC4
TP53	ETS2
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
P4HB	VCP
VCP	NFKB2
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
NPM1	EPAS1
HSP90AA1	PPARA
UBL4A	APP
APP	ELK1
UBL4A	PHB
PHB	E2F1
PTK2	SAE1
SAE1	ETV4
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	EGR1
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	SMAD3
SMAD3	JUN
EP300	ETS1
EP300	TFAP2A
CTNNB1	HIF1A
CTNNB1	PPARG
CTNNB1	CREBBP
EP300	ARNT
SMAD3	CEBPB
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
SMAD3	NCOA1
NCOA1	RARB
EP300	SP3
CBL	ABL1
ABL1	CREB1
SMAD3	CEBPA
CBL	MAPK8
MAPK8	MYC
CBL	EGFR
EGFR	STAT1
EGFR	STAT3
HTR2A	DLG4
DLG4	CACNG2
CACNG2	ATF1
SMAD3	E2F4
SMAD3	ATF2
SMAD3	FOS
CTNNB1	HNF4A
EP300	gag-pol
CBL	YWHAQ
YWHAQ	NFATC1
MAPK8	NFATC3
EP300	ETS2
SMAD3	YAP1
GRB2	TSG101
TSG101	NFKB2
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
SMAD3	EPAS1
GRB2	HSP90AA1
MAPK8	ELK1
YWHAQ	E2F1
GRB2	HTT
HTT	ETV4
CTNNB1	BRCA1
BRCA1	FLI1
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
CREBBP	ENO2
CREBBP	ANGPT4
CREBBP	VEGFA
EP300	ENO2
EP300	ANGPT4
EP300	VEGFA
HIF1A	ENO2
HIF1A	ANGPT4
HIF1A	VEGFA
ARNT	ENO2
ARNT	ANGPT4
ARNT	VEGFA
YAP1	BIRC5
YAP1	ID4
YAP1	SOX2
LEF1	SOX2
TCF7	SOX2
TCF7L2	SOX2
TCF7L1	SOX2
HNF4A	PKLR
HNF4A	SLC2A2
NFKB1	PTGS2
NFKB1	BCL2A1
NFKB2	CCL19
RELA	PTGS2
RELA	BCL2A1
TP53	IGFBP3
TP53	PMAIP1
TP53	RRM2
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
NFKB2	PTGS2
PPARA	APOA2
RXRA	APOA2
RXRA	ILK
RXRB	APOA2
RXRB	ILK
RXRG	APOA2
RXRG	ILK
ELK1	EGR1
CREB1	HLA-DOB
NFAT5	PTGS2
NFATC1	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	FOSL1
TCF7	JUN
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	FOSL1
SP1	GAST
CEBPA	ABCB1
CEBPB	ABCB1
EGR1	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
TP53	APCS
USF2	APOA2
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
EGR1	CD44
SP1	CD44
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
E2F4	CDC45
E2F1	CDC45
E2F4	CDC6
RARB	CRABP2
CEBPA	F9
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
SP1	GYPC
E2F1	HIST1H2AM
NFKB1	IER3
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPA	ITGA2
SP1	ITGA2
TFAP2A	ITGA2
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ETS2	JUN
JUN	JUN
RARB	JUN
SP1	JUN
USF2	LIPC
PPARG	POU2F1
ATF1	PTGS2
ATF2	PTGS2
CEBPB	PTGS2
CREB1	PTGS2
ETV4	PTGS2
PPARG	PTGS2
RARB	PTGS2
TFAP2A	PTGS2
USF2	PTGS2
CEBPA	SERPINC1
