SLC22A6	APP
APP	MYC
MYC	TFAP2A
APP	EEF1D
EEF1D	RELA
RELA	USF2
APP	MAPK8
MAPK8	SP1
APP	MCM7
MCM7	HIF1A
MAPK8	JUN
RELA	EGR1
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
APP	RFX5
RFX5	PPARG
APP	MAPK7
MAPK7	ETS1
AKAP13	PPARA
APP	C9orf41
C9orf41	NR3C2
APP	KAT5
KAT5	CREB1
MAPK8	ATF2
ATF2	ATF1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
GSK3B	NFKB1
APP	TAF6
TAF6	YAP1
APP	STUB1
STUB1	FOXO1
APP	CSNK1D
CSNK1D	SMAD4
MAPK8	CEBPA
ELAVL1	NFIC
MAPK8	TP53
APP	ELK1
ELK1	FLI1
MAPK8	STAT3
MYC	FOXO3
APP	HGS
HGS	TSG101
TSG101	NFKB2
APP	DDX54
DDX54	ESR1
PANX1	GNAS
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
GIPC1	OGT
OGT	RELA
GNAS	AXIN1
AXIN1	MYC
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GIPC1	MCM7
C1QBP	PRKD1
PRKD1	JUN
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	EGR1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
C1QBP	PRKCA
PRKCA	PPARG
CREBBP	ETS1
C1QBP	DAP3
DAP3	PPARA
GNAS	SHMT2
SHMT2	CAND1
CAND1	NR3C2
CREBBP	CREB1
CREBBP	ATF1
C1QBP	PRKCD
PRKCD	EP300
RUVBL1	ELAVL1
C1QBP	NFKBIE
NFKBIE	NFKB1
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	LRPPRC
LRPPRC	FOXO1
RUVBL1	LEF1
LEF1	SMAD4
C1QBP	CEBPA
AXIN1	TP53
PRKCD	FLI1
GNAS	HLA-A
HLA-A	STAT3
RUVBL1	CTNNB1
CTNNB1	FOXO3
NFKBIE	NFKB2
GIPC1	MMS19
MMS19	ESR1
STAT3	PIM1
NR3C2	SGK1
CREBBP	TFRC
EP300	TFRC
HIF1A	TFRC
ARNT	TFRC
YAP1	ID1
YAP1	ID3
YAP1	SNAI2
SMAD4	ID1
SMAD4	ID3
FOXO1	PCK1
FOXO1	PCK2
TP53	TP53I3
NFKB1	TRAF5
NFKB2	TRAF5
RELA	TRAF5
FOXO3	PCK1
FOXO3	PCK2
PPARA	FABP1
PPARA	HMGCS2
PPARA	ACADM
PPARA	SCD
PPARG	PCK1
PPARG	PCK2
PPARG	SCD
RXRA	FABP1
RXRA	HMGCS2
RXRA	ACADM
RXRA	PCK1
RXRA	PCK2
RXRA	SCD
RXRB	FABP1
RXRB	HMGCS2
RXRB	ACADM
RXRB	PCK1
RXRB	PCK2
RXRB	SCD
RXRG	FABP1
RXRG	HMGCS2
RXRG	ACADM
RXRG	PCK1
RXRG	PCK2
RXRG	SCD
TP53	HSP90AB1
HIF1A	ADM
TFAP2A	ADM
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
EGR1	CD9
SP1	CD9
USF2	CEACAM1
ATF1	CGA
CREB1	CGA
ESR1	CGA
NFIC	CGA
TFAP2A	CGA
NFKB1	CTSB
RELA	CTSB
USF2	CTSB
CEBPA	F9
JUN	GJA1
SP1	GJA1
NFIC	GOT1
NFIC	HRAS
SP1	HRAS
CEBPA	PCK2
NFIC	PCK2
ETS1	SLC26A3
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
CEBPA	UBE2L3
ESR1	UBE2L3
SP1	UBE2L3
FLI1	UPP1
