HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	YWHAQ
YWHAQ	E2F1
E2F1	SP4
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ITCH
ITCH	JUN
ARRB2	AKT1
AKT1	CREB1
ITCH	TP53
ARRDC3	NEDD4
NEDD4	SMAD7
TP53	ETS1
ARRB2	CDK3
CDK3	PPARA
ARRB2	TRAF6
TRAF6	MYD88
ARRB2	SFPQ
SFPQ	SP3
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	STAT1
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
HSP90AA1	ARNT
MAPK1	ELK1
NR3C2	SGK1
JUN	CCND1
MYC	CCND1
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
ELK1	CCND1
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	HMOX1
EP300	CDKN1B
EP300	HMOX1
HIF1A	CDKN1B
HIF1A	HMOX1
ARNT	CDKN1B
ARNT	HMOX1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
STAT1	CCND1
STAT3	CCND1
MYD88	CXCL1
NFKB1	NFKBIA
RELA	NFKBIA
TP53	SIAH1
ETS1	CCND1
NFKB1	CCND1
RELA	CCND1
PPARA	FADS2
RXRA	FADS2
RXRB	FADS2
RXRG	FADS2
NFKB1	CEBPB
NFKB1	CEBPG
RELA	CEBPB
RELA	CEBPG
CREB1	TWF2
ELK1	TWF2
CREB1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
NFKB1	CD83
SP1	CD83
SP3	CD83
MYC	CSTB
CREB1	HMOX1
ETS1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
NFIC	HRAS
SP1	HRAS
JUN	MMP7
PPARA	NFKBIA
