DDC	RELA
RELA	NFKB1
RELA	JUN
RELA	EP300
EP300	ETS1
RELA	FOS
RELA	TP63
TP63	ETV4
RELA	BRCA1
BRCA1	FLI1
EP300	ETS2
RELA	HSPA8
HSPA8	ERG
RELA	SP1
RELA	HIF1A
RELA	SMAD3
SMAD3	CEBPA
RELA	TP53
RELA	CREBBP
EP300	ARNT
RELA	POU2F1
EP300	Cebpb
Cebpb	NFIC
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	FIGF
EP300	CDKN1B
EP300	FIGF
HIF1A	CDKN1B
HIF1A	FIGF
ARNT	CDKN1B
ARNT	FIGF
TP53	BAX
NFKB1	FIGF
RELA	FIGF
ETS1	FIGF
ETS1	MMP2
FOS	FIGF
FOS	MMP2
JUN	FIGF
JUN	MMP2
CEBPA	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
SP1	HBZ
SP1	MAT2B
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
TP53	MMP2
ERG	MMP3
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
CEBPA	NFYB
ETS1	SPP1
ETS2	SPP1
ETV4	SPP1
JUN	SPP1
POU2F1	SPP1
SP1	SPP1
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
FLI1	UPP1
