GABRA1	PRKCD
PRKCD	TP53
PRKCD	EP300
EP300	CREB1
PRKCD	ELAVL1
ELAVL1	CEBPA
EP300	CREBBP
PRKCD	STAT3
STAT3	HIF1A
EP300	ARNT
STAT3	JUN
EP300	FOS
EP300	TFAP2A
EP300	ETS1
PRKCD	STAT1
PRKCD	SP1
EP300	SMAD4
EP300	SMAD3
EP300	EGR1
EP300	JUND
EP300	TP63
TP63	ETV4
EP300	JUNB
STAT3	NFKB1
STAT3	RELA
EP300	PPARG
PRKCD	HSP90AA1
HSP90AA1	NFIC
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
PPARG	RXRG
EP300	FOXO1
EP300	FOXO3
EP300	SP3
EP300	REL
EP300	ATF2
ADRA2B	UCHL1
UCHL1	TP53
TP53	CREB1
UCHL1	CDK4
CDK4	CEBPA
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
HSP90AA1	ARNT
UCHL1	UBE2I
UBE2I	JUN
UBE2I	FOS
TP53	TFAP2A
UBE2I	ETS1
UBE2I	STAT1
CTNNB1	SP1
UCHL1	COPS5
COPS5	SMAD4
TP53	SMAD3
TP53	EGR1
COPS5	JUND
UBE2I	TP63
HSP90AA1	STAT3
COPS5	NFKB1
TP53	RELA
CTNNB1	PPARG
UBE2I	RXRA
PPARG	RXRB
CTNNB1	FOXO3
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
SFPQ	SP3
UCHL1	PARK2
PARK2	REL
HNRNPL	HMGA1
HMGA1	ATF2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
ZCCHC10	PIN1
PIN1	JUN
SDCBP2	PRPF40A
PRPF40A	UBE2I
TP53	ETS1
TIFA	IRAK1
IRAK1	STAT1
TP53	SP1
ZCCHC10	SNIP1
SNIP1	SMAD4
SDCBP2	SEC23A
SEC23A	TPM1
TPM1	JUND
PRPF40A	HTT
HTT	ETV4
TRAF6	STAT3
SDCBP2	LYAR
LYAR	NPM1
NPM1	JUNB
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
PIN1	PPARG
TRAF6	SMURF1
SMURF1	NFIC
SDCBP2	C1orf35
C1orf35	APP
IRAK1	CUL1
CUL1	RXRG
SEC23A	STUB1
STUB1	FOXO1
TRAF6	AKT1
AKT1	FOXO3
PRPF40A	SFPQ
SEC23A	HSPA4
HSPA4	REL
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
GABRA4	APP
APP	MAPK8
MAPK8	TP53
APP	KAT5
KAT5	CREB1
MAPK8	CEBPA
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
APP	MYC
MYC	TFAP2A
MAPK7	ETS1
APP	HDAC4
HDAC4	STAT1
MAPK8	SP1
APP	CSNK1D
CSNK1D	SMAD4
APP	GSK3B
GSK3B	SMAD3
APP	EEF1D
EEF1D	RELA
RELA	EGR1
MAPK8	JUND
APP	HSPA8
HSPA8	HTT
MAPK8	STAT3
MAPK8	JUNB
GSK3B	NFKB1
APP	RFX5
RFX5	PPARG
ELAVL1	NFIC
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	STUB1
MYC	FOXO3
RELA	SP3
MAPK8	REL
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	UBC
UBC	C1QBP
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
NOD1	CASP9
CASP9	JUN
UBC	ABL1
ABL1	FOS
UBC	BRCA1
BRCA1	STAT1
HSP90AA1	SP1
UBC	FHL2
FHL2	SMAD4
NOD1	CFLAR
CFLAR	SMAD3
UBC	TPM1
UBC	UBA2
UBA2	ETV4
BRCA1	JUNB
NOD1	COPS6
COPS6	NFKB1
UBC	SFPQ
SFPQ	PPARG
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
FHL2	FOXO1
UBC	BTRC
BTRC	FOXO3
UBC	E2F1
E2F1	SP3
FHL2	REL
UBC	CUL3
CUL3	ATF2
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	TP53
GSK3B	CREB1
TRAK2	PRKAB2
PRKAB2	YY1AP1
YY1AP1	CEBPA
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
GSK3B	JUN
GSK3B	BCL3
BCL3	FOS
GNB2L1	STAT1
PRKAB2	CRX
CRX	SP1
PIAS2	SMAD4
GSK3B	RELA
SMAD3	JUND
TRAK2	PRKAG1
PRKAG1	FKBP4
FKBP4	SAE1
SAE1	ETV4
BCL3	STAT3
SMAD3	JUNB
GSK3B	CTNNB1
GSK3B	HSP90AA1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
SMAD3	FOXO1
CRX	SP3
SMAD3	ATF2
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
GABRB3	PRKACA
PRKACA	CREB1
MEOX2	KAT5
KAT5	CEBPA
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
PRKACA	HSP90AA1
RELA	JUN
RELA	FOS
MEOX2	CIAPIN1
CIAPIN1	STAT1
RELA	SP1
RELA	SMAD4
MEOX2	TGFB1
TGFB1	SMAD3
TGFB1	SMAD2
SMAD2	ETV4
RELA	STAT3
RELA	NFKB1
PRKCA	PPARG
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
MEOX2	IKBKB
IKBKB	FOXO3
RELA	REL
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	UBE3A
UBE3A	CEBPA
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	APP
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	MTOR
MTOR	STAT1
HCVgp1	SMAD3
CREBBP	EGR1
UBQLN1	UBC
MTOR	STAT3
UBQLN1	PSEN2
UBQLN1	UBQLN4
UBQLN4	RXRA
UBE3A	RARA
RARA	RXRG
CREBBP	SP3
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
CUX1	RECQL5
RECQL5	CREB1
CUX1	BIN1
BIN1	MYC
MYC	CEBPA
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
SATB1	PML
PML	ARNT
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
ALG9	RTF1
RTF1	STAT1
CUX1	CCNA1
CCNA1	SP1
FAM189B	WWP1
WWP1	SMAD4
GABRE	GPAA1
GPAA1	PIN1
PIN1	SMAD3
ALG9	TPM1
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	HTT
CUX1	CDK7
CDK7	HSP90AA1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
PML	FOXO1
GP1BB	YWHAZ
YWHAZ	FOXO3
CUX1	TLE4
TLE4	HDAC1
HDAC1	SP3
ZDHHC17	ATF2
GABRG2	GABARAP
GABARAP	DVL2
DVL2	TP53
GABARAP	NEDD4
NEDD4	AKT1
AKT1	CREB1
NEDD4	SMAD3
SMAD3	CEBPA
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
SMAD3	FOS
NEDD4	PPARG
PPARG	TFAP2A
ATG7	STAT1
SMAD3	SP1
SMAD3	SMAD4
NEDD4	ERBB3
ERBB3	EGR1
NEDD4	SMAD2
GABARAP	TBC1D15
TBC1D15	STAT3
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
KEAP1	HSP90AA1
NEDD4	SRC
SRC	RXRA
ATG7	FOXO1
GABARAP	GBAS
GBAS	FOXO3
TAX1BP1	TBK1
TBK1	REL
STAT3	PIM2
TP53	GADD45G
NFKB1	CCL5
RELA	CCL5
CREBBP	ANGPT2
CREBBP	PFKFB4
CREBBP	TIMP1
EP300	ANGPT2
EP300	PFKFB4
EP300	TIMP1
HIF1A	ANGPT2
HIF1A	PFKFB4
HIF1A	TIMP1
ARNT	ANGPT2
ARNT	PFKFB4
ARNT	TIMP1
FOXO1	PCK2
NFKB1	PTGS2
RELA	PTGS2
TP53	BAX
FOXO3	PCK2
PPARG	PCK2
RXRA	PCK2
RXRB	PCK2
RXRG	PCK2
EGR1	CCL5
FOS	CCL5
JUN	CCL5
SP3	DNASE2
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ATF2	IFNG
CREB1	IFNG
EGR1	IFNG
REL	IFNG
STAT1	IFNG
CEBPA	PCK2
NFIC	PCK2
ATF2	PTGS2
CREB1	PTGS2
ETV4	PTGS2
PPARG	PTGS2
REL	PTGS2
TFAP2A	PTGS2
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
SMAD3	ZFP36
SMAD4	ZFP36
