ADRA1B	AP2M1
PAK1	ESR1
MTOR	STAT1
ITCH	SMAD3
ADRA2A	GNAO1
GNAO1	OPRM1
OPRM1	ARF1
ARF1	SPI1
ADRA2B	UCHL1
UBE2I	JUN
PPARG	RXRB
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
TP53	TFAP2A
CTNNB1	BRCA1
CTNNB1	HDAC1
TP53	RELA
CTNNB1	SMARCA4
SMARCA4	RBPJ
CTNNB1	ESR1
UBE2I	STAT1
TP53	SMAD3
EIF2B1	GORASP2
GORASP2	NONO
NONO	SPI1
STAT3	PIM2
GLI1	WNT10B
GLI1	WNT5B
GLI2	WNT10B
GLI2	WNT5B
GLI3	WNT10B
GLI3	WNT5B
TP53	GADD45G
TP53	GADD45A
RBPJL	FGR
RBPJ	FGR
NFKB1	TNF
RELA	TNF
CREBBP	ENO1
CREBBP	PGK1
CREBBP	SLC2A1
CREBBP	VEGFA
EP300	ENO1
EP300	PGK1
EP300	SLC2A1
EP300	VEGFA
HIF1A	ENO1
HIF1A	PGK1
HIF1A	SLC2A1
HIF1A	VEGFA
ARNT	ENO1
ARNT	PGK1
ARNT	SLC2A1
ARNT	VEGFA
SMAD3	SLC2A1
TP53	RPRM
TP53	BAI1
TP53	ZMAT3
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	SLC2A1
EPAS1	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
PPARA	CYP4A11
PPARD	ACADL
PPARG	PCK1
RXRA	CYP4A11
RXRA	ACADL
RXRA	PCK1
RXRB	CYP4A11
RXRB	ACADL
RXRB	PCK1
RXRG	CYP4A11
RXRG	ACADL
RXRG	PCK1
FOS	TNF
JUN	TNF
NFKB1	IL23A
RELA	IL23A
NFIC	ADA
SP1	ADA
SP1	COL2A1
SP3	COL2A1
RARA	CRABP2
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
ETS1	DNTT
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
JUN	GJA1
SP1	GJA1
NFIC	GOT1
HIF1A	ITGB2
SPI1	ITGB2
ETS1	LCK
SP3	PFKP
CREB1	REN
ATF1	TG
CREB1	TG
ATF1	TNF
ETS1	TNF
POU2F1	TNF
SP1	TNF
SP3	TNF
SPI1	TNF
SP1	TPI1
