HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	MAPK1
MAPK1	SP1
ARRB2	AKT1
AKT1	CREB1
ARRDC3	ITCH
ITCH	TP53
TP53	ETS2
MAPK1	ATF2
ITCH	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRB2	NFKBIA
NFKBIA	ATF4
ITCH	PTCH1
PTCH1	ATF6B
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
TRIM28	MYB
TP53	ETS1
ARRDC3	HGS
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	POLR2E
POLR2E	FOS
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRB2	MAPK3
NFKBIA	NFKB1
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	DYNC1H1
DYNC1H1	MAX
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CDK3
CDK3	PPARA
ARRB2	XRCC5
XRCC5	BRCA1
NFKB1	SOCS3
RELA	SOCS3
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	NPY
CREB3L2	NPY
CREB3L1	NPY
CREB5	NPY
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
NFKB1	HIF1A
RELA	HIF1A
SOS1	SPRY2
SOS1	SPRED2
SOS2	SPRY2
SOS2	SPRED2
MAPK1	CDK4
MAPK3	CDK4
TP53	CD82
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
PPARA	NR1H3
MAX	CDK4
MYB	CDK1
SP1	CDK1
SP1	ALDH3A1
SP1	APEX1
NFKB1	B2M
USF2	B2M
CREB1	CALCA
USF2	CALCA
SP1	CD99
E2F4	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
PPARA	LIPA
NFIC	MBP
JUN	MGP
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
E2F4	POLE2
NFIC	POLE2
USF2	PTPN6
E2F4	RBL1
CREB1	TG
