SLC22A6	APP
APP	KAT5
KAT5	E2F1
E2F1	SP4
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	STAT3
APP	MAPK7
MAPK7	ETS1
MAPK8	TP53
MAPK8	JUN
KAT5	CREB1
APP	TAF6
TAF6	YAP1
MAPK8	SP1
APP	HDAC4
HDAC4	STAT1
APP	MYC
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	ELK1
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
E2F1	TEAD3
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
MAPK8	PIAS2
PIAS2	STAT4
APP	GSK3B
GSK3B	NFKB1
SHC1	SOS1
SHC1	SOS2
RELA	SP3
MCM7	HIF1A
PANX1	GNAS
GNAS	C1QBP
C1QBP	HSPA8
HSPA8	POU2F1
POU2F1	SP4
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	HLA-A
HLA-A	STAT3
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	ETS1
GNAS	AXIN1
AXIN1	TP53
C1QBP	PRKD1
PRKD1	JUN
CREBBP	CREB1
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GNB2
GNB2	STAT1
AXIN1	MYC
RUVBL1	LEF1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	ELK1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
GNAS	PAICS
PAICS	TKT
TKT	STAT4
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
CREBBP	SP3
GIPC1	MCM7
JUN	CCND1
MYC	CCND1
LEF1	CCND1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	CCND1
ELK1	CCND1
ELK1	CCND3
JUN	CCND3
HIF1A	HK1
YAP1	CCND1
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	CCND1
TEAD1	CCND3
TEAD4	CCND1
TEAD4	CCND3
TEAD3	CCND1
TEAD3	CCND3
TCF7L1	CCND3
SOS1	CCND1
SOS1	CCND3
SOS2	CCND1
SOS2	CCND3
STAT1	CCND1
STAT1	CCND3
STAT3	CCND1
STAT3	CCND3
STAT4	CCND1
STAT4	CCND3
STAT5A	CCND1
STAT5A	CCND3
STAT5B	CCND1
STAT5B	CCND3
ETS1	CCND1
NFKB1	CCND1
RELA	CCND1
TP53	MKI67
CREB1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
ETS1	CSNK2B
STAT3	CSRP1
MYC	CSTB
RELA	S100A6
