CACNA1C	COPS5
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	MDM2
MDM2	MYD88
COPS5	TP53
TP53	CREB1
COPS5	SMAD4
SMAD4	IRF7
CACNA1S	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	IL1RAP
IL1RAP	MYD88
STAT3	EP300
EP300	CREB1
STAT3	TRIM28
TRIM28	IRF7
CACNB1	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	TIRAP
TIRAP	MYD88
APP	KAT5
KAT5	CREB1
CACNB1	NEDD4L
NEDD4L	SMAD3
SMAD3	IRF7
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	RELB
RELB	NFKB1
CBX3	FAF1
FAF1	RELA
CBX3	XRCC6
XRCC6	HDAC6
HDAC6	MYD88
CBX3	DNMT3B
DNMT3B	CREB1
CBX3	TRIM28
NR3C2	NR3C1
NR3C1	NFKB1
NR3C1	RELA
NR3C1	HDAC6
NR3C1	CREB1
NR3C2	SUMO1
SUMO1	PIAS4
PIAS4	IRF7
AHR	EP300
EP300	NFKB1
AHR	RELA
EP300	HDAC6
EP300	SMAD3
NFKB1	BIRC3
RELA	BIRC3
CREB1	PER3
MYD88	IL12B
IRF7	IFNA1
IRF7	IFNA2
NFKB1	IL12B
RELA	IL12B
CREB1	HLA-DRB4
MYD88	IFNA1
MYD88	IFNA2
