ACHE	COL1A1
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	HSP90AA1
HSP90AA1	PPARA
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
UBL4A	SMN1
SMN1	RXRA
COL1A1	IGFBP3
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
FN1	UBE2L3
UBE2L3	FOS
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	NCL
NCL	SP1
IGF1R	TP53
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
FN1	HDAC1
HDAC1	GLI1
HDAC1	GLI2
PRKCA	GLI3
ITGB1	TUBA1A
TUBA1A	MYC
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
UBL4A	C1QBP
C1QBP	MRPL12
MRPL12	RARG
GLI1	WNT10B
GLI2	WNT10B
GLI3	WNT10B
FOS	MMP9
NFKB1	MMP9
RELA	MMP9
CREBBP	HK3
EP300	HK3
HIF1A	HK3
ARNT	HK3
NFKB1	NFKBIA
RELA	NFKBIA
ETS1	MMP9
JUN	MMP9
MYC	MMP9
PPARA	ACSL1
PPARA	ANGPTL4
PPARG	FABP4
PPARG	ACSL1
PPARG	ANGPTL4
RXRA	FABP4
RXRA	ACSL1
RXRA	ANGPTL4
RXRB	FABP4
RXRB	ACSL1
RXRB	ANGPTL4
RXRG	FABP4
RXRG	ACSL1
RXRG	ANGPTL4
NFKB1	CEBPB
RELA	CEBPB
CREB1	TWF2
FOS	PLAUR
JUN	PLAUR
NFKB1	LTA
RARA	MIF
RARB	MIF
RARG	MIF
PPARA	MMP9
PPARG	MMP9
SP1	MMP9
PPARA	NFKBIA
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
