SLC22A6	APP
APP	MAPK8
MAPK8	SP1
MAPK8	JUN
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
RELA	EGR1
APP	HSPA8
HSPA8	POU2F1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	HDAC4
HDAC4	STAT1
MAPK8	CEBPA
MAPK8	IRF3
MAPK8	SPI1
GSK3B	CEBPB
APP	MAPK7
MAPK7	ETS1
APP	KAT5
KAT5	CREB1
MAPK8	TP53
MAPK8	STAT3
APP	MYC
MYC	TFAP2A
MYC	VDR
MAPK7	FOS
APP	ELK1
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	TAF6
TAF6	YAP1
APP	TIRAP
TIRAP	MYD88
PSEN2	TRAF6
TRAF6	IRF7
APP	DDX54
DDX54	ESR1
APP	MCM7
MCM7	HIF1A
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
C1QBP	PRKD1
PRKD1	JUN
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	EGR1
C1QBP	HSPA8
RUVBL1	ELAVL1
GNAS	GNB2
GNB2	STAT1
C1QBP	CEBPA
CREBBP	IRF3
CEBPA	SPI1
CEBPA	CEBPB
CREBBP	ETS1
CREBBP	CREB1
GNAS	AXIN1
AXIN1	TP53
GNAS	HLA-A
HLA-A	STAT3
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GIPC1	SH3BP4
SH3BP4	TFAP2A
CEBPA	VDR
CEBPA	FOS
CREBBP	ELK1
RUVBL1	LEF1
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
C1QBP	AHCYL1
AHCYL1	YAP1
SHMT2	HDAC6
HDAC6	MYD88
AXIN1	TNFAIP3
TNFAIP3	IRF7
GIPC1	MMS19
MMS19	ESR1
GIPC1	MCM7
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
CREB1	PDYN
ESR1	TRPV5
VDR	TRPV5
ELK1	CCND2
JUN	CCND2
HIF1A	PFKFB1
YAP1	AFP
YAP1	CCND2
STAT1	CCND2
STAT3	CCND2
STAT5A	CCND2
STAT5B	CCND2
MYD88	IL12A
VDR	S100G
ETS1	MMP2
FOS	MMP2
JUN	MMP2
ELK1	EGR1
FOS	IL12A
IRF3	CXCL10
IRF3	CXCL9
IRF3	CXCL11
IRF3	CD40
IRF7	IFNA1
IRF7	IFNA4
JUN	IL12A
NFKB1	IL12A
RELA	IL12A
STAT1	CXCL10
STAT1	CXCL9
STAT1	CXCL11
SPI1	FCGR1A
CREB1	HLA-DQA1
MYD88	IFNA1
MYD88	IFNA4
TP53	HSP90AB1
CEBPA	ADH7
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
CEBPA	ALB
CEBPB	ALB
SP1	ALB
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
CEBPA	IL5
CEBPB	IL5
ETS1	IL5
JUN	IL5
POU2F1	IL5
SPI1	IL5
SP1	KRT18
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
