HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	PPARD
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
CBL	SMAD3
SMAD3	CEBPA
CTNNB1	ESR1
CTNNB1	PPARG
CBL	BAG1
BAG1	RARA
CBL	HSPA8
HSPA8	POU2F1
CTNNB1	BRCA1
GRB2	EP300
EP300	ETS1
CBL	ABL1
ABL1	TP73
DRD2	FLNA
FLNA	REL
REL	NFKB1
FLNA	RANBP2
RANBP2	TP53
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	PPARD
FLNA	LMNA
LMNA	KAT5
KAT5	CEBPA
CALM1	ESR1
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
LMNA	LMNB1
LMNB1	POU2F1
DRD2	EPB41L1
EPB41L1	ITPR1
ITPR1	BRCA1
REL	EP300
PAWR	FBXO45
FBXO45	TP73
TP53	GADD45A
TP73	BBC3
NFKB1	TNFAIP3
TP53	ZMAT3
ETS1	CSNK2B
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
