ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	KPNA2
KPNA2	RELA
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	PPARD
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
ITGB1	TUBA1A
TUBA1A	MYC
CD44	STAT3
COL1A1	RNH1
RNH1	PTGES3
PTGES3	NR3C2
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
IGF1R	CSK
CSK	JUN
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	NCL
NCL	SP1
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
HSP90AA1	MAX
IGF1R	KCNIP3
KCNIP3	CREM
FN1	SMAD4
SMAD4	ATF2
TP53	ETS1
HSP90AA1	NFIC
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
IGF1R	ESR1
CREB1	BDNF
ATF2	BDNF
NR3C2	ATP1B3
NFKB1	BIRC3
RELA	BIRC3
TP53	SFN
JUN	CCND1
MYC	CCND1
LEF1	CCND1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	CCND1
CREBBP	ALDOA
CREBBP	HK1
CREBBP	PFKL
EP300	ALDOA
EP300	HK1
EP300	PFKL
HIF1A	ALDOA
HIF1A	HK1
HIF1A	PFKL
ARNT	ALDOA
ARNT	HK1
ARNT	PFKL
STAT3	CCND1
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
NFKB1	CXCL2
NFKB1	BCL2A1
NFKB1	VCAM1
NFKB2	CCL21
RELA	CXCL2
RELA	BCL2A1
RELA	VCAM1
ETS1	CCND1
MAX	CKS2
MYC	CKS2
NFKB1	CCND1
NFKB2	BIRC3
NFKB2	CCND1
RELA	CCND1
PPARD	ILK
PPARD	LPL
RXRA	ILK
RXRA	LPL
RXRB	ILK
RXRB	LPL
RXRG	ILK
RXRG	LPL
MAX	CCND1
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
ATF2	CCND1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
SP1	CCND1
SP4	CCND1
TP53	CCND1
STAT3	CSRP1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
RELA	HDAC1
NFIC	HRAS
SP1	HRAS
NFIC	HSPA1A
TFAP2A	HSPA1A
NFKB1	IER3
CEBPA	IVL
JUN	IVL
TFAP2A	KRT14
PPARD	LIPA
TP53	PLK1
ETS1	PPP2R4
NFKB1	PPP2R4
