ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EPS15
EPS15	TFAP2A
EP300	RARA
AP2M1	IKZF1
IKZF1	NCOR2
NCOR2	RARB
NCOR2	RARG
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
EP300	CREB1
EP300	STAT1
AP2M1	CSNK2B
CSNK2B	MYC
EP300	FOS
EP300	ETS1
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	STAT3
HSPA8	UBE3A
UBE3A	CEBPA
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	BCR
BCR	TP53
SFPQ	SP1
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	JUN
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
EP300	TFAP2A
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
RELA	NCOR2
GOPC	TGFBR2
TGFBR2	HSP90AA1
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
GOPC	KPNA1
KPNA1	STAT1
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
RELA	FOS
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
RELA	HIF1A
RELA	STAT3
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
DTNA	NMT1
NMT1	TP53
RELA	PPARG
DTNA	NUP62
NUP62	SP1
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	ABL1
ABL1	JUN
YWHAE	NPM1
NPM1	TFAP2A
UBE3A	RARA
KCNH2	HSP90AA1
HSP90AA1	PRKD2
PRKD2	RARB
YWHAE	LSR
LSR	RARG
ABL1	CREB1
YWHAE	XPO1
XPO1	STAT1
HSP90AA1	MYC
ABL1	FOS
HSPA8	TP53
TP53	ETS1
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
HSP90AA1	STAT3
YWHAE	C1QBP
C1QBP	CEBPA
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
XPO1	PPARG
HSP90AA1	SP1
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
GNAI2	ITCH
ITCH	JUN
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
ITCH	SMAD2
SMAD2	RARB
AJUBA	RARG
UCHL1	HSP90AA1
UCHL1	TP53
TP53	CREB1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
UCHL1	CDK4
CDK4	MYC
UCHL1	UBE2I
UBE2I	FOS
UBE2I	ETS1
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
MTOR	STAT3
CDK4	CEBPA
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
AJUBA	RXRG
CTNNB1	PPARG
CTNNB1	SP1
ADRA2B	UCHL1
TP53	RELA
UBE2I	JUN
TP53	TFAP2A
UBE2I	NCOR2
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	ACY3
ACY3	RARG
UBE2I	STAT1
PPARG	RXRB
CREB1	BDNF
JUN	RELA
STAT1	MYD88
CREBBP	LTBR
CREBBP	VEGFC
EP300	LTBR
EP300	VEGFC
HIF1A	LTBR
HIF1A	VEGFC
ARNT	LTBR
ARNT	VEGFC
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
STAT3	VEGFC
ETS1	VEGFC
FOS	VEGFC
JUN	VEGFC
MYC	VEGFC
PPARG	PLIN1
PPARG	ADIPOQ
RXRA	EHHADH
RXRA	PLIN1
RXRA	UBC
RXRA	ADIPOQ
RXRB	EHHADH
RXRB	PLIN1
RXRB	UBC
RXRB	ADIPOQ
RXRG	EHHADH
RXRG	PLIN1
RXRG	UBC
RXRG	ADIPOQ
CREB1	HLA-DMA
NFKB1	CEBPB
RELA	CEBPB
CEBPA	F9
NFIC	HSPA1A
TFAP2A	HSPA1A
RARA	MIF
RARB	MIF
RARG	MIF
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
TFAP2A	POLD2
CEBPA	PREB
SP1	RELA
TP53	RELA
RARA	S100A8
RARB	S100A8
RARG	S100A8
RARA	S100A9
RARB	S100A9
RARG	S100A9
JUN	TXN
