ACHE	COL1A1
COL1A1	UBL4A
UBL4A	KPNA2
KPNA2	RELA
COL1A1	IGFBP3
IGFBP3	FN1
FN1	ELAVL1
ELAVL1	ELK4
FN1	CIRBP
CIRBP	SRF
IGFBP3	GTF3C1
GTF3C1	TOP1
TOP1	ELK3
UBL4A	TXN
TXN	NFKB1
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	ITGB1
ITGB1	PTK2
PTK2	STAT1
IGFBP3	CD44
CD44	STAT3
PTK2	SAE1
SAE1	ETV4
ITGB1	GNB2L1
GNB2L1	HIF1A
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
FN1	SMAD4
SMAD4	ATF2
IGFBP3	IGF1R
IGF1R	ESR1
FN1	TRIB3
TRIB3	ATF4
IGF1R	TP53
TP53	ETS2
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
ESR1	ESR2
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	PIN1
PIN1	RELA
KRT31	LMO4
LMO4	BRCA1
BRCA1	ELK4
KRT31	HDAC4
HDAC4	SRF
KRT31	TSG101
TSG101	EP300
EP300	TCF3
TCF3	ELK3
HDAC4	NFKB1
EP300	CREB1
HDAC4	STAT1
EP300	STAT3
HDAC4	ATXN1
ATXN1	ETV4
HDAC4	HIF1A
BRCA1	FLI1
HDAC4	ATF2
LMO4	ESR1
KRT31	NEK6
NEK6	ATF4
EP300	ETS2
HDAC4	HDAC3
HDAC3	CREB3
TSG101	XPO1
XPO1	ELAVL1
KRT31	PRKAA2
PRKAA2	PRKAB2
PRKAB2	CREB3L1
KRT31	SMARCE1
SMARCE1	ESR2
TSG101	CDKN1A
CDKN1A	CDK6
CDK6	ATF6B
TSG101	TRIM23
TRIM23	CREB5
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Traf6
Traf6	ECSIT
ECSIT	RELA
Traf6	UBE2D3
UBE2D3	BRCA1
Traf6	Nr0b2
Nr0b2	RXRG
RXRG	SRF
Rac1	Mapk1
Mapk1	TP53
TP53	TOP1
ECSIT	NFKB1
TP53	CREB1
Rac1	Jra
Jra	Egfr
Egfr	STAT1
Mapk1	HIF1A
HIF1A	STAT3
Traf6	Akt1
Akt1	HTT
HTT	ETV4
Traf6	UBE2N
UBE2N	NBN
NBN	ATF2
Nr0b2	ESR1
Rac1	Pak
Pak	OS9
OS9	CREB3
CREB3	ATF4
CREB3	CREB3L2
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	DDIT3
DDIT3	CREB3L1
OS9	ERLEC1
Rac1	Tnfrsf12a
Tnfrsf12a	TRAF2
TRAF2	CREB5
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	PRMT5
PRMT5	RELA
YWHAH	CBL
CBL	MAPK8
MAPK8	ELK4
YWHAZ	HDAC4
YWHAZ	CTNNB1
CTNNB1	TCF3
YWHAZ	COPS5
COPS5	NFKB1
YWHAH	ABL1
ABL1	CREB1
YWHAH	PIK3CA
PIK3CA	STAT1
YWHAZ	PRKCD
PRKCD	STAT3
YWHAZ	RFWD2
RFWD2	ETV4
CTNNB1	HIF1A
PRKCD	FLI1
YWHAH	IRS1
