ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGF1R	TP53
IGFBP3	FN1
FN1	RBL1
RBL1	E2F4
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
FN1	UBC
UBC	ATF6
UBL4A	HSP90AA1
HSP90AA1	NFIC
IGFBP3	CD44
CD44	EP300
EP300	USF2
UBL4A	NPM1
NPM1	TFAP2A
CD44	STAT3
ITGB1	PTK2
PTK2	STAT1
FN1	STAT5A
UBL4A	JAK1
JAK1	STAT5B
TP53	EGR1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	GNB2L1
GNB2L1	HIF1A
JUN	CCND2
HIF1A	ENO3
HIF1A	VEGFB
YAP1	SNAI2
YAP1	CCND2
STAT1	SOCS2
STAT1	CCND2
STAT3	SOCS2
STAT3	CCND2
STAT5A	SOCS2
STAT5A	CCND2
STAT5B	SOCS2
STAT5B	CCND2
TP53	CCNG2
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
JUN	VEGFB
MYC	VEGFB
RXRA	DBI
RXRA	ACADL
RXRA	PCK2
RXRB	DBI
RXRB	ACADL
RXRB	PCK2
RXRG	DBI
RXRG	ACADL
RXRG	PCK2
NFKB1	IL18
RELA	IL18
NFIC	ALAS1
E2F4	CAV1
SP1	CAV1
TP53	CAV1
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
EGR1	CD9
SP1	CD9
USF2	CEACAM1
JUN	GJA1
SP1	GJA1
CEBPA	PCK2
NFIC	PCK2
ATF6	XBP1
