CREB3L1	BDNF
CREB5	CRH
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	HHIP
GLI3	BMP4
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ATF6B	PCNA
RELA	IL6
CREBBP	ENO2
CREBBP	PFKL
EP300	ENO2
EP300	PFKL
HIF1A	ENO2
HIF1A	VEGFC
ARNT	CDKN1B
ARNT	PFKL
STAT3	SOCS2
STAT3	CCND3
MITF	TYRP1
MAPK1	CDK4
MAPK3	CCND1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	PERP
NFKB1	FIGF
STAT3	VEGFB
EPAS1	TGFB1
ETS1	FIGF
FOS	PGF
JUN	MMP2
MYC	CDK4
NFKB2	CCND1
RELA	NOS2
IRF1	IL12B
CREB3L2	BCL2
PPARA	SLC27A4
PPARA	ACSL3
PPARA	APOC3
PPARD	ANGPTL4
PPARG	SLC27A4
PPARG	ACSL6
PPARG	ANGPTL4
RXRA	FABP1
RXRA	ACADL
RXRA	APOC3
RXRA	ILK
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRA	ACSL5
RXRB	OLR1
RXRB	PCK2
RXRG	FABP3
RXRG	ACSL4
RXRG	GK
RXRG	APOC3
RXRG	SLC27A1
RXRG	PDPK1
RXRG	PLTP
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
IRF7	IFNA21
JUN	IL12A
JUN	CCL4L1
NFKB1	CCL3L3
CEBPA	PER2
SPI1	CD14
NFYC	HLA-DMA
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL6
MAPK8	IL18
RFX5	LOC100507709
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
NFKB1	REL
POU2F1	REL
SP1	COL4A2
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CD14
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
E2F1	HIST1H2AM
SMAD7	HMOX1
STAT3	HMOX1
STAT3	IL2RA
STAT4	IL2RA
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
FLI1	MMP9
PPARG	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
RARB	S100A8
NFIC	SFTPC
POU2F2	SPP1
HOXA4	TH
STAT3	TIMP1
SMAD4	TNNC1
TP53	TP53
