SLC12A2	PRKACA
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
PRKACA	CREB1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ELK4
PRKACA	NFATC1
NFATC1	SRF
PRKACA	EP300
MAPK1	SMAD3
MAPK1	SMAD4
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	ETS1
ETS1	SPI1
MAPK1	JUN
PRKACA	MAPK8
MAPK8	JUND
MAPK1	STAT3
MAPK1	STAT1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	ETS2
NR3C2	ATP1A3
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
GLI3	WNT5A
ATF6B	PCNA
MAPK8	JUN
CREBBP	ENO2
CREBBP	ANGPT4
EP300	ENO2
EP300	ANGPT4
HIF1A	ENO2
HIF1A	ANGPT4
SOS1	CCND3
SOS2	SPRY3
TP53	PERP
JUN	VEGFC
MAX	CKS1B
NFKB2	TRAF1
NFKB2	TRAF5
CREB3L1	MCL1
PPARA	CYP4A11
PPARA	DBI
PPARD	UCP1
PPARG	CPT1B
PPARG	ACSL1
RXRA	ACSL3
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
NFYB	HLA-DOA
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK1	IL6
RFX5	LOC100507714
CREB5	AQP2
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
NFKB1	REL
EGR1	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
STAT1	EGFR
ETV4	ERBB2
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
USF1	HMOX1
USF2	HMOX1
ETS1	IL5
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
JUN	MT1A
RARB	S100A8
PPARD	SERPINE1
POU2F2	SPP1
ATF1	TG
STAT3	TIMP1
ETS1	TNNC1
TP53	TP53
PAX1	VHL
