HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	ETS1
ETS1	SPI1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
MAPK1	TP53
MAPK1	CREB3
CREB3	ATF1
MAPK1	ELK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
PIK3R5	HIF1A
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
CREB3L3	ARC
NFKB1	BCL2
RELA	BIRC3
GLI1	WNT3
GLI1	WNT8A
GLI2	WNT4
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT10B
GLI3	WNT3A
NR1H4	ABCC2
E2F2	CCNE2
E2F3	CCNE2
EP300	ALDOA
SOS1	BCL2L1
EPAS1	VEGFB
ETS1	VEGFA
AR	KLK3
PIAS2	CDKN2B
FOXO3	G6PC
PPARA	HMGCS2
PPARA	ACOX2
PPARG	MMP1
RXRA	CPT1C
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	EHHADH
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	SLC27A1
RXRB	ME1
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1B
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DOA
NFYB	HLA-DPB1
NFYB	HLA-DQA1
MAPK11	IL12B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
MYB	TSC22D3
MYBL1	TSC22D3
ATF2	CGA
NFKB1	HMOX1
JUN	IVL
RARB	JUN
PGR	KLK3
CREM	LDHC
PPARG	LIPA
NFIC	MBP
FOS	MT1A
CEBPE	MYB
ETS1	MYB
ESR1	MYC
MYB	MYC
TFAP2A	MYC
E2F4	MYCN
CEBPA	TK1
