AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREB1
PRKACA	CREBBP
CREBBP	SP1
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
MAPK1	FOS
MAPK1	SMAD3
PRKACA	MAPK8
MAPK8	JUNB
MAPK8	JUND
MAPK1	SMAD4
NFKB1	NFKB2
NFKB2	RELB
PRKACA	RELA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
FOXO1	PCK1
STAT4	SOCS5
STAT5A	SOCS5
STAT5B	SOCS4
STAT5B	SOCS7
STAT5B	SOCS3
STAT6	CCND2
STAT6	CCND3
STAT6	SOCS3
RBPJ	PTCRA
TP53	SESN1
TP53	SHISA5
TP53	PTEN
SP1	ADA
SP1	CAV1
SP1	CYP21A2
JUNB	DCN
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CREB1	HMOX1
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
