CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	PPARA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB1
PRKACA	PDX1
PDX1	HNF4A
PRKCA	MAPK1
MAPK1	TP53
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	MAPK8
MAPK8	TP53
SOS2	SPRY2
CREB3L4	MITF
STAT3	VEGFC
EPAS1	VEGFB
ETS1	VEGFB
NFKB2	BCL2
PIAS2	CDKN2B
FOXO3	PCK1
PPARA	APOA5
PPARA	HMGCS2
PPARA	FADS2
PPARG	CPT1C
PPARG	MMP1
RXRA	CPT1B
MAPK1	IL6
MAPK1	IL18
TFAP2A	HMOX1
