TNFSF11	TNFRSF11A
CREB1	ADRB2
SP1	CAV1
MYC	CCNB1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
SP1	CD14
SP3	CD14
EGR1	CD44
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP3	CDKN1A
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
TFAP2A	COL1A1
EGR1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
USF2	CTSB
SP1	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
SP3	DNASE2
STAT1	EGFR
ATF1	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
USF2	FBP1
EGR1	FCER2
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
RARA	GADD45A
E2F1	HIST1H2AM
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
TP53	IL8
CEBPA	ITGA2
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
MYB	MYB
NFKB1	MYC
MYB	NCL
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
TFAP2A	PDHA1
PAX6	PDHX
FOS	PENK
JUN	PENK
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
ETV4	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
CREB1	REN
USF1	S100A6
RARG	S100A9
SPI1	SCARB2
CEBPA	SERPINC1
EPAS1	SERPINE1
ESR2	SERPINE1
PPARA	SERPINE1
PPARG	SERPINE1
POU2F1	SFTPA1
ETS1	SPP1
LEF1	SPP1
TFAP2A	TAF7
EGR1	TFPI2
POU2F1	TFPI2
ATF1	TFRC
ETS1	TFRC
JUN	TFRC
CREB1	TG
CREM	TH
JUNB	TIMP1
SP1	TIMP1
ATF1	TNF
EGR4	TNF
POU2F1	TNF
SP3	TNF
REL	TNFSF10
ERG	TNNC1
FLI1	TNNC1
SMAD3	TNNC1
NFIC	TP53
PAX8	TP53
CREB1	TRH
JUN	TXN
USF2	TYMS
ESR1	UBE2L3
FLI1	UPP1
HIF1A	VHL
TFAP2A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
POU2F1	VWF
