ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	RELA
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	JUN
PLCD3	PRKCA
PRKCA	FOS
PRKCA	CREB1
PRKCA	MAPK1
MAPK1	ETS1
MAPK1	STAT1
MAPK1	STAT3
HIF1A	EP300
HIF1A	ARNT
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD4
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	TP53
MAPK1	SMAD3
AKT3	NFKB1
TCF7L2	MYC
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
MAPK3	CDK4
NFYB	HLA-DRB1
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	TNF
MAPK3	IL18
NFAT5	PTGS2
USF2	ABCA1
CEBPB	ABCB1
ATF4	CGA
CREB1	CGA
SP3	COL2A1
STAT1	EGFR
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
NFIC	GOT1
TFAP2A	HMOX1
ATF1	PLAUR
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
