CREB3L3	FOSB
CREB3L1	BDNF
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
JUN	RELA
FOS	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
SMAD2	SERPINE1
SOS1	SPRED1
STAT3	SOCS2
STAT3	CCND3
STAT5A	MYC
STAT5A	SOCS2
STAT6	SOCS7
STAT6	CCND1
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
TP53	SESN3
RXRA	ACADL
MAPK1	IL12B
MAPK1	IL18
MAPK3	IL18
SP1	CDKN1C
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
SP3	COL2A1
TFAP2A	HMOX1
RELA	IL2
STAT3	IL2RA
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
CREM	PLAT
JUN	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
