TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
ADCY1	PRKACA
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
NFKB1	MYB
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	HIF1A
PRKACA	CREB1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
RBPJ	FCER2
CREBBP	PFKL
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
NFYC	HLA-DQA2
SP1	COL4A2
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
USF1	CTSB
USF2	CTSB
SP1	CTSL
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PPARG	PTGS2
HOXA4	TH
