TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	ETS1
PRKACA	RELA
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	MYB
PRKACA	ATF3
PRKACA	ATF1
PRKACA	PSEN1
PSEN1	ATF6
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	EDN1
ARNT	EPO
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
YAP1	ID3
YAP1	MYC
YAP1	AXIN2
WWTR1	CTGF
WWTR1	AREG
SMAD1	ID2
SMAD4	CTGF
TCF7L2	MITF
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
NFYC	HLA-DQA2
MAPK1	IL12A
MAPK8	IL18
RFXAP	CD74
SP1	COL4A2
USF2	ABCA1
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
SP3	CTSL
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F1	HIST1H2AM
TFAP2A	HMOX1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
