DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
PRKACA	CREB1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	NFKB1
PTK2B	RAC1
RAC1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	JUN
RAC1	NFKB1
NFKB1	TP53
MAPK1	CREB1
PTK2B	SRC
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
NFKB1	HIF1A
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
EP300	ANGPT4
FOXO1	PCK2
SOS1	SPRY3
STAT5A	SOCS2
HNF1A	FOXA3
LEF1	MITF
STAT3	VEGFC
EPAS1	VEGFC
NFKB2	BCL2
IRF8	IL12A
PPARA	APOA5
PPARA	APOA1
PPARG	CPT1C
PPARG	OLR1
RXRB	PCK1
NFYA	HLA-DQA1
NFYC	HLA-DQA2
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
TP53	CAV1
JUND	FOSL1
BRCA1	GADD45A
POU5F1	GADD45A
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
ETS1	TNNC1
