PPARG	RXRA
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
AKT3	RELA
AKT3	CHUK
CHUK	NFKB2
THRB	GATA4
GATA4	SRF
SRF	ELK1
THRB	HIF1A
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	CREB1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	RELA
NFKB1	NFKB2
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	ELK1
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
NOS3	CREB1
ATF6B	ARC
ATF4	ARC
JUN	RELA
CREB3L4	PCNA
CREBBP	EPO
EP300	EPO
HIF1A	EPO
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
RXRB	MMP1
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
RARA	S100A9
NFIC	STMN1
E2F4	TK1
WT1	TP53
