HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	CREM
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	PPARA
HRAS	JUN
MAPK1	CREB1
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	ATF2
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ETS1
MAPK1	TP53
MAPK1	MYC
MAPK1	FOXO1
MAPK1	FOXO3
MAPK1	AR
HRAS	FOS
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	STAT3
MAPK1	STAT1
MAPK1	CREB3
CREB3	ATF1
CREB3L3	BDNF
CREB3L1	FOSB
NR3C2	ATP1A2
NR3C2	ATP1B1
GLI3	PTCH1
TP53	CDKN1A
LEF1	CCND1
JUN	CCND3
SMAD3	MYC
CREB3L3	PCNA
CREBBP	HK1
CREBBP	TIMP1
EP300	HK1
EP300	TIMP1
HIF1A	HK1
LEF1	AXIN1
LEF1	CCND2
TCF7	BIRC2
TCF7	NKD1
TCF7	CCND3
TCF7L2	SNAI2
TCF7L2	CCND2
TEAD1	SNAI2
TEAD4	CCND3
EP300	MITF
TCF7L2	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELB	CCL21
PIK3CB	PDPK1
PIK3CD	AKT1
PIK3R2	AKT2
RBPJ	HES5
BBC3	TP53AIP1
TP53	SERPINB5
TP53	STEAP3
TP53	BAX
TP53	RRM2
NFKB1	VEGFC
EPAS1	SLC2A1
MYC	VEGFC
NFKB2	TRAF6
FOXO3	CDKN1B
PPARA	EHHADH
PPARA	ACSBG2
PPARG	ACSL3
RXRA	APOA5
RXRB	PCK2
RXRG	EHHADH
IRF7	IFNA8
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DMA
CREB3L1	AQP2
CREB5	AQP2
TCF7L1	PPARD
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	CD55
USF2	CALCA
E2F4	CAV1
ATF2	CCND1
SP3	CCND1
TP53	CCND1
USF1	CCND1
USF1	CEACAM6
TFAP2A	COL1A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
E2F1	HIST1H2AM
TFAP2A	HMOX1
NFKB1	IL2RA
RELA	IL2RA
CEBPB	IL5
JUN	IL5
ETV4	MMP9
TAL1	NFKB1
ETS1	PLAU
EGR1	RELA
SPI1	SCARB2
SMAD2	SP1
EGR1	TFPI2
ETS1	TIMP1
EGR4	TNF
EGR1	TP53
JUN	TXN
