AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ETS1
PRKACA	MAPK3
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	FOS
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB1
MAPK1	MYC
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	FOXO3
PRKACA	RELA
MAPK1	SMAD4
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
PRKACA	MAPK8
MAPK8	JUND
NFKB1	MYB
PRKACA	PPARA
PRKACA	ATF1
PRKACA	MAPK14
MAPK14	MAX
IFNG	IDO1
TNF	ICAM1
CREB3	CRH
CREB3	FOSB
CREB1	CRH
CREB1	FOSB
ATF2	CRH
ATF2	FOSB
ATF6B	CRH
ATF6B	FOSB
CREB3L4	NPY
CREB3L4	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	CRH
CREB3L2	FOSB
GLI3	HHIP
GLI3	WNT3
TP53	GADD45G
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
NFKB1	TNF
RELA	IL6
CREBBP	SERPINE1
CREBBP	PFKL
EP300	SERPINE1
EP300	PFKL
HIF1A	SERPINE1
HIF1A	VEGFC
ARNT	FIGF
ARNT	PFKL
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
EPAS1	TGFB1
MYC	CDK4
RXRA	ACADL
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
MYD88	IFNA7
NFKB1	CEBPG
NFKB1	IL18
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	CD74
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB3L4	AQP2
ELK1	CCT8
TFAP2A	CDKN1A
USF1	CEACAM1
ATF4	CGA
CREB1	CGA
SP3	COL2A1
SP3	DNASE2
JUN	F3
JUND	F3
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	HMOX1
CREB1	IFNG
EGR1	IFNG
STAT4	IFNG
STAT5A	IFNG
CEBPA	IGF2
CEBPB	IGF2
FLI1	IGFBP3
SP1	IGFBP3
CEBPB	IL1A
CEBPD	IL1A
CREB1	IL1B
REL	IL1B
CREB1	IL2
CREM	IL2
ETS2	IL2
NFKB1	IL2
FLI1	MMP9
FOS	MT1A
BCL3	NFKB2
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
PPARA	SERPINE1
NFIC	SFTPC
JUN	TFRC
HOXA4	TH
ERG	TNNC1
SMAD4	TNNC1
HIF1A	VHL
