SLC12A2	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ETS1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	CREB1
MAPK1	JUN
MAPK1	FOS
MAPK1	MYC
PRKACA	RAF1
RAF1	PIK3R5
RAF1	PIK3CA
RAF1	PIK3CB
RAF1	PIK3CD
RAF1	PIK3CG
RAF1	PIK3R1
RAF1	PIK3R2
RAF1	PIK3R3
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	ELK1
PRKACA	RELA
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
CREB3	CRH
MAPK9	JUN
CREBBP	PFKFB1
EP300	PFKFB1
HIF1A	PFKFB1
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
EP300	MITF
NFKB1	IL1B
NFKB1	PLAU
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	PDPK1
RXRB	ANGPTL4
RXRG	GK2
RXRG	LPL
RXRG	SCD
JUN	IL12B
NFKB1	CCL3
CREB1	LOC100507709
MAPK9	IL1A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
MYB	TSC22D3
EGR1	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
SP3	CDKN1A
USF1	CTSB
PPARG	GADD45A
RARA	GADD45A
POU2F2	HLA-DRA
ATF2	HLA-E
STAT4	IFNG
SP1	SERPINE1
PAX8	TG
JUN	TNNC1
ERG	VIM
