SDHD	FH
FH	MDH1
MDH1	PCK1
PCK1	PPP2R4
PPP2R4	AKT2
AKT2	JUN
AKT2	FOXO3
FOXO3	RBL2
RBL2	E2F4
PCK1	PKM
PKM	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
AKT2	NFKB1
NFKB1	TP53
AKT2	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
AKT2	CREB1
AKT2	GSK3B
GSK3B	MYC
PRKACA	XBP1
XBP1	CEBPA
AKT2	MDM2
MDM2	RB1
RB1	TFDP2
AKT2	ATF2
AKT2	MTOR
MTOR	HIF1A
AKT2	RELA
AKT2	NR4A1
NR4A1	RXRA
CREBBP	RXRB
CREBBP	RXRG
AKT2	ATF4
MDH1	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
MAPK1	ETS1
PRKACA	EP300
MAPK1	ELK1
PRKACA	ATF1
CREBBP	ARNT
AKT2	CREB3
AKT2	ATF6B
AKT2	CREB3L2
AKT2	CREB3L1
AKT2	CREB5
RB1	TFDP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
ELK1	EGR1
PRKACA	PPARA
GLUD1	CPS1
CPS1	OTC
OTC	NOS1
NOS1	HRAS
HRAS	JUN
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
MAPK1	TP53
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
OTC	NOS3
NOS3	CREB1
MAPK1	MYC
NOS1	RASD1
RASD1	PRKACA
NOS3	ATF2
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	NFKB1
MAPK1	RELA
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
NOS3	ATF4
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREB3	ATF1
NOS3	ATF6B
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
SMAD2	TFDP1
MAPK1	SMAD4
SMAD4	LEF1
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI2	PTCH2
GLI3	GLI1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
MAPK11	CXCL1
MAPK11	IL8
RBPJL	CR2
RBPJL	FCER2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND2
NFKB1	TNF
STAT1	MYD88
CREBBP	SERPINE1
CREBBP	TEK
EP300	SERPINE1
EP300	TEK
HIF1A	SERPINE1
STAT4	SOCS3
STAT5B	CCND3
PAX6	PDX1
LEF1	MITF
RELA	TRAF2
PIK3CB	AKT1
PIK3CG	AKT3
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R3	AKT3
RBPJ	PTCRA
TP53	PTEN
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRB	ACAA1
RXRB	PLTP
RXRG	FABP3
IRF7	IFNA14
NFYA	HLA-DOB
NFYA	HLA-DQA1
MAPK3	NOS2
MAPK3	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
SP1	CD99
E2F4	CDC45
SP3	CDKN1A
EGR1	COL2A1
SP3	COL2A1
STAT3	CSRP1
MYC	CSTB
RELA	CTSB
CREB1	ERBB2
ELK1	ERBB2
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
RARA	GADD45A
ESR1	GADD45B
PPARA	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
ETS1	HMOX1
NFIC	HMOX1
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
JUN	MMP3
RELA	MMP3
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
ETS1	PPP2R4
NFKB1	PPP2R4
ATF4	PTGS2
CEBPB	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
TP53	PTTG1
PPARA	SERPINE1
WT1	SOD1
JUN	TFRC
USF2	THBS1
ERG	TNNC1
CEBPB	TOP1
HIF1A	VHL
