ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
PRKCA	CREB1
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PRKCA	ATF4
PRKCA	ATF2
AKT3	RELA
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PIK3R5	GSK3B
GSK3B	MYC
AKT3	JUN
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
MAPK1	STAT1
EGFR	CTNNB1
CTNNB1	LEF1
MAPK1	STAT3
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
EGFR	STAT5A
EGFR	STAT5B
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
AKT3	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT5A	STAT2
STAT5A	STAT4
STAT5A	STAT6
MAPK1	ESR1
NFKB1	MYB
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ETS2
MAPK1	SMAD3
MAPK1	ETS1
PRKCA	FOS
HIF1A	EP300
HIF1A	ARNT
MAPK1	ELK1
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
ELK1	EGR1
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
HRAS	MAPK14
MAPK14	MAX
AKT3	FOXO3
AKT3	CHUK
CHUK	NFKB2
CREB3	ATF1
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
PRKCA	MAPK3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
AKT3	MDM2
MDM2	RB1
RB1	TFDP2
NFKB1	CEBPB
CREB3	FOSB
JUP	MYC
JUP	CCND1
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB3L3	NPY
CREB3L1	CRH
CREB3L1	BDNF
CREB5	BDNF
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT3A
GLI3	HHIP
SMAD4	CDKN2B
TFDP1	CCNE1
TFDP2	CCNE2
TP53	CDKN1A
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
CLOCK	PER2
FOSB	NFKB1
JUN	CDK5
JUN	NFKB1
MYC	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	CR2
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ATF6B	IL8
SMAD3	MYC
NFATC2	TNF
RELA	IL6
CREBBP	ENO1
CREBBP	HK1
CREBBP	LDHA
CREBBP	PFKL
EP300	ENO1
EP300	HK1
EP300	LDHA
EP300	PFKL
HIF1A	ENO1
HIF1A	HK1
HIF1A	LDHA
ARNT	EDN1
ARNT	ENO1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	ID4
YAP1	CCND1
YAP1	AXIN2
YAP1	NKD1
WWTR1	FGF1
WWTR1	AREG
WWTR1	SERPINE1
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	SOX2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	AXIN1
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	BIRC2
TEAD1	BIRC5
TEAD1	SOX2
TEAD1	CCND2
TEAD1	CCND3
TEAD4	CTGF
TEAD4	MYC
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	MYC
TEAD3	CCND1
TEAD3	AXIN2
TP73	BBC3
TCF7L1	BIRC2
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	CCND1
TEAD2	AXIN2
TEAD2	NKD1
TEAD2	CCND2
SMAD4	SLC2A1
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
STAT4	CCND3
STAT5B	SOCS4
STAT5B	CCND2
NKX2-2	INS
NEUROG3	NKX2-2
PAX6	GCK
HNF1A	FOXA3
HNF1A	HNF4A
CREB3L4	MITF
LEF1	MITF
MAPK3	CDK4
VDR	SLC34A2
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
RBPJ	HES1
TP53	IGFBP3
TP53	GTSE1
TP53	RPRM
TP53	BAI1
NFKB1	FIGF
STAT3	VEGFA
STAT3	VEGFB
EPAS1	PDGFB
FOS	FIGF
FOS	PGF
NFKB2	XIAP
NFKB2	CCND1
