TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
MAPK1	STAT3
MAPK1	ETS1
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	FOS
MAPK1	STAT1
PRKACA	RELA
NFKB1	MYB
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	MAPK3
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	CREB1
MAPK1	ESR1
RAPGEF3	MAPK14
MAPK14	ELK4
PRKACA	NFATC1
NFATC1	SRF
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	ATF2
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	ATF1
MAPK8	ELK1
ELK1	EGR1
PRKACA	EP300
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF4
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
CREB3L1	NPY
CREB5	BDNF
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
GLI2	WNT6
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ATF6B	IL8
CREBBP	ENO1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	VEGFC
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD1	AXIN2
TEAD1	CCND2
TEAD4	SNAI2
TEAD4	AXIN1
TEAD3	GLI2
TEAD3	BIRC5
TEAD3	CCND2
TP73	BBC3
TCF7L1	CCND2
TEAD2	CTGF
TEAD2	SOX2
TEAD2	AXIN2
FOXO1	G6PC
SOS1	CCND3
SOS2	SPRY3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
VDR	SLC34A2
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MYC	CDK4
MYC	VEGFA
RELA	NOS2
CREB3L4	MCL1
PPARA	ACSL3
PPARA	SCP2
PPARG	ACSL6
RXRA	NR1H3
NFKB1	CEBPB
NFKB1	IL23A
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL12B
MAPK8	IL18
MAPK10	IL12B
RFX5	LOC100507709
MAPK12	IL1A
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
USF1	B2M
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
STAT1	IL2RA
CEBPB	IL4
POU2F2	IL4
ETS1	IL5
JUND	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
ETV4	MMP2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
RARA	S100A8
POU2F1	SPP1
ETS1	VWF
ETS2	VWF
NFIC	VWF
