PPARG	RXRA
RXRA	THRB
THRB	HIF1A
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
CTNNB1	LEF1
LEF1	JUN
THRB	PIK3R5
PIK3R5	HRAS
HRAS	FOS
CREBBP	STAT1
CREBBP	STAT3
CREBBP	SP1
THRB	GATA4
GATA4	SRF
SRF	ETS1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
GATM	NOS1
NOS1	HRAS
HRAS	JUN
PRKCA	FOS
NOS1	MAPK1
MAPK1	STAT1
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
SERPINE1	PLAT
PLAT	PLG
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	JUN
PRKCZ	MAPK1
MAPK1	FOS
JUN	CCND3
MAPK8	JUN
CREB3L3	PCNA
CREBBP	ANGPT4
CREBBP	TIMP1
EP300	ANGPT4
EP300	TIMP1
HIF1A	ANGPT4
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
MAPK3	IL18
USF1	B2M
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
EGR1	RELA
PPARD	SERPINE1
SMAD2	SP1
ATF1	TG
ETS1	TIMP1
ETS1	TNNC1
EGR1	TP53
PAX1	VHL
