TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	MYC
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
NFKB1	MYB
PRKACA	RELA
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
RBPJ	FCER2
CTNNB1	CCND3
ATF2	IL8
RELA	IL6
CREBBP	CDKN1B
CREBBP	PFKL
EP300	CDKN1B
EP300	PFKL
HIF1A	CDKN1B
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
CREB3	MITF
MITF	DCT
PIK3R2	AKT1
MAPK3	IL23A
MAPK8	IL18
MAPK12	IL1B
NFAT5	PTGS2
SP1	COL4A2
USF2	ABCA1
SP1	ADA
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
SP3	CTSL
ETS1	DNTT
USF1	FBP1
POU2F1	HIST2H2BE
TFAP2A	HMOX1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PPARG	PTGS2
MYC	PTMA
SP1	RPL15
NFIC	SFTPC
ETV4	SPP1
HOXA4	TH
SMAD3	TIMP1
SMAD4	TNNC1
PAX2	TP53
