SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
MAPK1	FOXO3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
RB1	E2F1
GLI2	WNT6
GLI3	GLI1
RBPJ	FCER2
CTNNB1	CCND3
MAPK10	JUN
RELA	IL6
CREBBP	PFKFB3
CREBBP	PFKL
EP300	PFKFB3
EP300	PFKL
HIF1A	PFKFB3
SOS1	SPRY3
MITF	TYRP1
NFKB1	FIGF
RFXANK	HLA-DQA1
USF2	ABCA1
MYC	EIF4E
ETV4	MMP2
RELA	MMP3
PPARG	PTGS2
MYC	PTMA
JUN	SFTPA1
NFIC	SFTPC
CREB1	TH
HOXA4	TH
SMAD2	TNNC1
SMAD4	TNNC1
ERG	VWF
