DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
PRKACA	CREB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	SMAD3
MAPK8	SMAD4
JAK2	STAT3
MAPK8	JUND
JAK2	STAT1
MAPK8	JUNB
MAPK8	TP53
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
PRKACA	NFKB1
ELK1	BIRC2
ELK1	CCND1
CREB3	IL8
SMAD3	MYC
NFATC2	TNF
MAPK8	JUN
RELA	MMP9
CREB3L2	PCNA
CREB3L1	IL8
CREBBP	HK1
CREBBP	LDHA
CREBBP	ANGPT4
CREBBP	PGF
CREBBP	SLC2A1
CREBBP	VEGFA
EP300	HK1
EP300	LDHA
EP300	ANGPT4
EP300	PGF
EP300	SLC2A1
EP300	VEGFA
HIF1A	HK1
HIF1A	LDHA
HIF1A	ANGPT4
LEF1	CCND2
TCF7	CCND3
MITF	TYRP1
ETS1	MMP1
ETS1	VEGFA
HIF1A	TGFB1
AR	KLK3
CREB3	BCL2
CREB1	BCL2
FOXO3	G6PC
PPARA	LPL
PPARA	ACOX1
PPARA	ACOX2
PPARG	PLIN1
PPARG	UCP1
RXRA	CPT1C
RXRB	PCK2
RXRB	ANGPTL4
RXRB	SCP2
RXRG	GK
RXRG	GK2
RXRG	APOA2
RXRG	SLC27A1
RXRG	LPL
RXRG	PCK2
RXRG	PLTP
RXRG	SCD
RXRG	ACOX2
JUN	IL12A
JUN	IL12B
JUN	CCL5
NFKB1	CCL3L3
NFKB1	CCL3
RELA	CCL3L1
SPI1	CD14
CREB1	LOC100507709
CREB1	HLA-DOA
MYD88	IFNA17
MYD88	IFNB1
NFYB	HLA-DRB1
SP2	CD14
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ESR1	PTMA
USF2	PTPN6
PPARD	RELA
SPI1	SCARB2
CEBPA	SERPINC1
PPARD	SERPINE1
ETS1	SLC26A3
SP1	SOD1
USF1	SP1
EGR1	TFPI2
POU2F1	TFPI2
ATF1	TG
HOXA5	TH
USF1	THBS1
ETV4	TIMP1
EGR4	TNF
POU2F1	TNF
ETS1	TNNC1
SP3	TNNC1
E2F4	TOP1
FOS	TP53
JUN	TXN
USF2	TYMS
PAX1	VHL
