SLC12A2	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	RELA
PRKACA	MAPK1
MAPK1	FOXO3
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
MAPK1	STAT3
NFKB1	NFKB2
MAPK1	ETS1
MAPK1	STAT1
MAPK1	JUN
PRKACA	ATF2
RBPJ	FCER2
CTNNB1	CCND3
MAPK9	JUN
RELA	IL6
CREBBP	PFKFB1
CREBBP	PFKL
EP300	PFKFB1
EP300	PFKL
HIF1A	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
LEF1	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	PTGS2
RELB	ICAM1
PIK3CD	AKT3
PIK3CG	PDPK1
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
NFKB1	FIGF
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK9	IL12A
MAPK9	IL12B
MAPK12	IL6
BCL6	ADH6
CEBPA	ADH7
TFAP2A	ADM
E2F1	HIST1H2AM
PPARG	PTGS2
MYC	PTMA
SP1	SERPINE1
NFIC	SFTPC
PAX8	TG
HOXA4	TH
JUN	TNNC1
SMAD4	TNNC1
ERG	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
