TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L3	FOSB
CREB3L1	NPY
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3	PCNA
NFKB1	TNF
CREB3L1	PCNA
CREBBP	SERPINE1
CREBBP	VEGFB
EP300	SERPINE1
EP300	VEGFB
HIF1A	SERPINE1
STAT5B	SOCS4
STAT5B	SOCS7
STAT6	CCND3
STAT6	SOCS3
PAX6	GCK
CREB3	MITF
MAPK1	CDK4
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
ATF4	MCL1
ATF4	BCL2
PPARD	FABP3
PPARD	ACADL
RXRA	CYP8B1
RXRA	CYP27A1
NFKB1	IL23A
MAPK1	IL18
MAPK10	IL12B
MAPK12	IL1B
USF2	ABCA1
ATF4	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
SP1	DKC1
SP3	DKC1
JUND	F3
ESR1	FOS
ETS2	FOS
CEBPA	GPX4
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
RELA	IL2
STAT1	IL2RA
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RELA
PPARA	SERPINE1
USF2	SP1
JUN	TFRC
FOS	TIMP1
ERG	TNNC1
HIF1A	TP53
HIF1A	VHL
