HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT1
STAT1	MYD88
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
HRAS	FOS
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ETS2
MAPK1	ETS1
ETS1	SPI1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	CREB3
CREB3	ATF1
MAPK1	ELK4
ETS1	SRF
HRAS	MAPK3
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
NFKB1	TRAF6
TRAF6	IRF5
MAPK1	ATF2
MAPK1	ATF4
MAPK1	ESR1
MAPK1	TP53
MAPK1	MYC
HIF1A	CREBBP
HIF1A	EP300
MAPK1	STAT3
STAT3	IRF1
MAPK1	SMAD3
MAPK1	ELK1
ELK1	EGR1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
CREBBP	EPAS1
PRKACA	PPARA
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A3
NR3C2	ATP1A4
NR3C2	ATP1B2
NR3C2	ATP1B3
NR3C2	SCNN1G
NR3C2	SGK1
NFKB1	BIRC2
NFKB1	BCL2L1
GLI1	BMP4
GLI1	WNT5A
GLI1	WNT3A
GLI2	PTCH1
ARNTL	PER2
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
SOS1	SPRED2
SOS1	CCND1
SOS1	BCL2L1
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS1
STAT5A	SOCS2
STAT5B	CCND1
STAT6	CCND1
CREB3L3	MITF
RELA	GADD45B
RELA	TRAF1
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	PDPK1
PLCG2	EGFR
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
RXRA	PLIN1
RXRA	SCD
RXRA	SCP2
RXRB	NR1H3
RXRB	APOA5
RXRB	CPT1C
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP3
RXRB	ACSL1
RXRB	ACSL3
RXRB	ACSL4
RXRB	ACSL6
RXRB	GK
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	UCP1
RXRB	ACSBG2
RXRB	ACOX2
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP7A1
RXRG	CYP8B1
RXRG	CYP27A1
RXRG	ADIPOQ
RXRG	CD36
EGR1	CCL5
MAPK10	IL8
MAX	CDK6
MAX	CCND1
SMAD4	PITX2
SMAD5	ID2
SMAD5	ID3
SP1	CDKN2B
FOS	IL6
FOS	IL12A
FOS	CCL4
FOS	TNF
FOS	CCL4L1
IRF3	CD40
IRF5	IL6
IRF5	IL8
IRF5	CCL5
IRF7	IFNA1
IRF7	IFNA2
NFYA	LOC101060835
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK1	IL6
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
LEF1	PPARD
TCF7	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
USF1	APEX1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
NFKB1	HMOX1
USF1	HMOX1
ATF1	IL1B
CEBPB	IL1B
ETS1	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
CEBPB	IL6
CEBPD	IL6
ETS2	JUN
SMAD3	JUN
ATF1	LDHA
EGR1	LHB
SP2	MAT2A
HIF1A	MDK
CREB1	NTS
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
