PPARG	RXRA
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	JUN
PIK3R5	HRAS
HRAS	FOS
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
NOS1	HRAS
HRAS	JUN
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	JUN
PRKCZ	MAPK1
MAPK1	FOS
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
STAT5A	SOCS7
STAT6	SOCS4
RXRA	UBC
RXRB	GK2
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
