DHODH	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
JAK2	STAT3
MAPK8	ELK1
ADCY1	PRKACA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT1
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
LEF1	PPARD
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
CREBBP	SP1
MAPK8	TP53
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	NFKB1
PRKACA	RELA
STAT3	MYC
PRKACA	CREB1
NFKB1	NFKB2
RXRA	RARB
PTK2B	SRC
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
SRC	STAT3
MAPK1	ELK1
SRC	CTNNB1
STAT3	STAT5A
STAT3	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
RAC1	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
NFKB1	HIF1A
CTNNB1	CREBBP
MAPK1	SMAD2
SMAD2	SP1
NFKB1	TP53
RAC1	RELA
MAPK1	MYC
MAPK1	CREB1
ATF6B	FOS
ATF4	FOS
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
JUN	NFKB1
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
EP300	GAPDH
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
VDR	SLC34A2
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
MYD88	IFNA10
NFYB	HLA-DPA1
MAPK3	IL18
RFXAP	HLA-DMA
USF2	XRCC6
JUN	ABCA1
USF2	ABCA1
SP3	CD14
EGR1	CD44
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
REL	CSF2
ATF2	INS
SP1	ITGA2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
CREB1	PLAT
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
CEBPB	TNF
