DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
JAK2	STAT1
MAPK8	JUN
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PTK2B	RAC1
RAC1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
RAC1	NFKB1
RAC1	RELA
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	HIF1A
HIF1A	ARNT
NFKB1	TP53
MAPK1	STAT1
MAPK1	JUN
MAPK1	FOS
NPAS2	PER2
CLOCK	RORC
RBPJ	FCER2
CTNNB1	CCND3
CREB3L4	IL8
RELA	IL6
CREBBP	ENO3
CREBBP	PFKL
EP300	ENO3
EP300	PFKL
HIF1A	ENO3
MITF	DCT
RBPJL	HES1
TP53	PIDD
RXRA	UCP1
RXRB	CYP4A22
RXRG	FABP4
IRF7	IFNA10
STAT1	CXCL9
SP1	CAV1
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
BRCA1	PCNA
FOS	PDHA1
PPARG	PTGS2
MYC	PTMA
RARG	S100A8
NFIC	SFTPC
SP1	SPP1
HOXA4	TH
TFAP2A	TIMP1
SMAD4	TNNC1
USF1	TP53
