HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
HRAS	MAPK1
MAPK1	TP53
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	STAT1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	AKT3
AKT3	IRF3
PIK3R5	MTOR
MTOR	PPARG
PRKACA	PPARA
CREBBP	EPAS1
MAPK1	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT4
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
RAF1	RELA
HRAS	JUN
HRAS	FOS
MAPK1	ESR1
STAT3	STAT2
STAT3	STAT6
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB3L1	ARC
CREB5	ARC
RELA	BCL2L1
GLI1	WNT4
GLI1	WNT11
GLI1	WNT9B
GLI3	PTCH1
NPAS2	PER2
CLOCK	RORC
ELK1	BIRC2
NFATC4	TNF
RELA	MMP9
CREBBP	NOS2
CREBBP	PGF
EP300	NOS2
EP300	PGF
HIF1A	NOS2
TEAD1	BIRC2
TEAD1	CCND1
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	CCND2
TEAD3	MYC
TEAD3	SOX2
TCF7L1	SOX2
TEAD2	BIRC5
TEAD2	NKD1
SMAD2	SLC2A1
EP300	MITF
NFKB2	CXCL12
RELA	GADD45B
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	PDPK1
RXRA	UCP1
RXRA	ACSBG2
RXRA	ACOX3
RXRA	FADS2
RXRB	CYP4A22
RXRB	ACADM
RXRB	ILK
MAPK1	TNF
NFAT5	PTGS2
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
ESR2	CD68
POU2F2	CD79A
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
ATF1	JUN
EGR1	JUN
TFAP2A	KRT14
TFAP2A	KRT5
POU2F1	LPL
JUN	MAT2A
ETV4	MMP9
BRCA1	PCNA
FOS	PDHA1
ESR1	PTMA
EPAS1	SERPINE1
ETS1	SLC26A3
ATF1	TFRC
HOXA5	TH
SP3	TNF
SP3	TNNC1
ESR1	UBE2L3
