TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
CREB5	BDNF
ATF6B	FOS
ATF4	FOS
GLI2	WNT2B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS4
STAT5A	CCND1
STAT5A	SOCS5
STAT5B	SOCS5
STAT6	MYC
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
TP53	RRM2B
ETS1	MMP1
HIF1A	TGFB1
NFKB1	TRAF3
NFKB2	BIRC2
CREB3	BCL2
CREB1	BCL2
FOXO3	PCK2
CREB3L3	BCL2
PPARA	LPL
PPARA	ACOX1
PPARD	CPT1C
PPARD	UBC
PPARG	PLIN1
PPARG	UCP1
RXRA	CPT2
RXRA	ACSL1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MYD88	IFNA7
NFKB1	CEBPG
MAPK1	IL6
MAPK3	IL18
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DMA
RFXANK	HLA-DMA
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
USF2	ABCA1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
EGR1	COL2A1
SP3	COL2A1
PAX5	FCER2
CEBPA	FN1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
CEBPB	IL4
ATF2	INS
SP1	ITGA2
ETS1	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
MYC	PTMA
POU2F1	SFTPA1
NFIC	SFTPC
CREM	TH
HOXA4	TH
SMAD3	TNNC1
SMAD4	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
