AR	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	ATF2
PRKACA	ATF4
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	CREB5
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ETS1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
PRKACA	EP300
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	CEBPB
NFKB1	HIF1A
TP53	CDKN1A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
MAPK11	CXCL1
RBPJL	CR2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	BIRC2
NFKB1	TNF
RELA	MMP9
CREBBP	SERPINE1
CREBBP	PGF
EP300	SERPINE1
STAT5A	SOCS4
STAT5B	SOCS5
HNF1A	HNF4A
RELA	TRAF2
PIK3CG	AKT3
EPAS1	TGFA
MAX	CKS2
RXRB	MMP1
MAPK9	IL1B
MAPK9	IL6
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100507714
RFXAP	LOC100509457
CREB3L2	AQP2
CREB3L3	AQP2
SP1	CD99
MYC	CDC25A
E2F4	CDC45
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
CREB1	ERBB2
ELK1	ERBB2
ESR1	FOS
ESR2	FOS
ETS2	FOS
TAL1	NFKB1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
ETS1	PPP2R4
ATF4	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
ESR1	PTMA
PPARA	SERPINE1
ETS1	SLC26A3
JUN	TFRC
HOXA5	TH
ERG	TNNC1
