HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	PRKACA
PRKACA	GLI2
PRKACA	GLI3
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB1
PRKCA	RAF1
RAF1	NFKB1
SMAD2	E2F4
PRKACA	XBP1
XBP1	CEBPA
RAF1	RELA
PRKACA	GLI1
PRKCA	HRAS
HRAS	JUN
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
NFKB1	NFKB2
HRAS	MAPK8
MAPK8	JUND
PRKACA	PPARA
CREB3L4	PDYN
CREB3L2	PDYN
CREB5	ARC
NFKB1	XIAP
RELA	BIRC2
GLI1	WNT4
GLI1	WNT2
GLI1	WNT7B
GLI1	WNT9B
GLI2	WNT16
GLI3	WNT3
IRF3	IFNB1
SMAD3	MYC
MAPK8	JUN
CREBBP	ANGPT1
CREBBP	HK1
CREBBP	ANGPT4
EP300	ANGPT1
EP300	HK1
EP300	ANGPT4
HIF1A	ANGPT1
HIF1A	HK1
HIF1A	ANGPT4
STAT4	SOCS3
STAT5B	CCND3
RBPJ	HES5
TP53	SERPINB5
TP53	PMAIP1
TP53	BAX
EPAS1	VEGFB
FOS	MMP2
NFKB2	BIRC7
PIAS2	CDKN2B
CREB3L2	MCL1
PPARA	FABP1
PPARA	HMGCS2
PPARD	ACOX1
PPARG	ACSL4
PPARG	MMP1
RXRA	FABP4
CREB1	HLA-DPB1
NFYC	HLA-DQA2
MAPK9	IL12B
SP1	CAV1
SP2	CD14
MYC	CSTB
RELA	CTSB
NFKB1	CYP11A1
SP1	CYP11A1
SP3	CYP17A1
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
PPARG	GADD45A
RARA	GADD45A
STAT4	IRF1
CEBPA	IVL
EGR1	JUN
NFIC	JUN
NFKB1	KLK3
TFAP2A	KRT5
SP1	LDHA
PPARD	LIPA
JUN	MAT2A
SP3	MAT2B
FOS	MT1A
RELA	SAA2
SPI1	SCARB2
PPARD	SERPINE1
ESR1	TFF1
EGR1	TFPI2
ATF1	TG
CEBPD	TNF
EGR4	TNF
ETS1	TNNC1
JUN	TSHB
JUN	TXN
PAX1	VHL
