ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAI1	HRAS
HRAS	JUN
GNAI1	PIK3R5
PIK3R5	HIF1A
MAPK1	TP53
MAPK1	ELK1
ELK1	EGR1
MAPK1	CREB3
CREB3	ATF1
MAPK1	ETS1
GNAI1	MAPK14
MAPK14	CEBPB
PIK3R5	AKT3
AKT3	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
HIF1A	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
ETS1	SPI1
PRKACA	CREM
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SMAD2	E2F4
MAPK1	ATF2
MYD88	VDR
MAPK1	CREB3L2
MAPK1	CREB3L1
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	MAPK1
ADORA2A	GNAS
GNAS	ADCY1
ADCY1	PRKACA
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
HRAS	MAPK14
HRAS	MAP3K1
MAP3K1	CHUK
GNAQ	DVL1
DVL1	NOTCH1
NOTCH1	RBPJL
PDE4B	ADCY1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	MAPK1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
NFKB1	HIF1A
MAPK8	TP53
MAPK8	ELK1
PRKACA	ATF1
RAPGEF3	MAPK14
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
ELK1	SPI1
PRKACA	PRKAG2
PRKAG2	MTOR
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
RYR1	PRKCA
PRKCA	RAF1
PRKCA	MAPK1
RYR1	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
PRKCA	CREB1
PRKCA	PRKACA
CALML6	HRAS
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAP3K1
CAMK2A	STAT1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	ATF2
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
MAPK1	JUN
NFKB1	TP53
NFKB1	CEBPB
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
TP53	PTEN
PTEN	AKT3
AKT3	NFKB1
AKT3	RELA
TP53	TP73
TP73	YAP1
YAP1	MYC
YAP1	SMAD2
AKT3	CREB1
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
AKT3	JUN
PTEN	PIK3R5
THBS1	PTK2
PTK2	MAPK1
PTK2	MAPK14
TP53	FAS
FAS	CASP8
CASP8	CHUK
FAS	FADD
FADD	RIPK1
RIPK1	TRAF6
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
AKT3	NR4A1
NR4A1	RXRA
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
AKT3	ATF2
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
PIK3CD	AKT3
PIK3CD	GSK3B
GSK3B	MYC
PIK3CD	HIF1A
PIK3CD	PLCE1
PLCE1	PRKACA
PIK3CD	HRAS
PIK3CD	MTOR
PIK3CD	THRA
AKT3	FOXO3
FOXO3	RBL2
RBL2	E2F4
PIK3CA	AKT3
PIK3CA	GSK3B
PIK3CA	HIF1A
PIK3CA	PLCE1
PIK3CA	HRAS
PIK3CA	MTOR
PIK3CA	THRA
PIK3CB	AKT3
PIK3CB	GSK3B
PIK3CB	HIF1A
PIK3CB	PLCE1
PIK3CB	HRAS
PIK3CB	MTOR
PIK3CB	THRA
ITPR1	CAMK2A
CAMK2A	MAPK1
CAMK2A	CREB1
ITPR1	PRKCA
ITPR1	CALML6
CREBBP	HIF1A
STAT1	TRAF6
CREBBP	RXRA
CAMK2A	ATF2
CAMK2A	CREB3
CAMK2A	CREB3L2
CAMK2A	CREB3L1
ITPR2	CAMK2A
ITPR2	PRKCA
ITPR2	CALML6
ITPR3	CAMK2A
ITPR3	PRKCA
ITPR3	CALML6
ATM	TP53
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
CREB3L4	BDNF
ATF4	BDNF
STAT1	CCND1
STAT1	SOCS1
STAT1	SOCS2
STAT4	SOCS4
STAT4	MYC
MYC	MMP2
MYC	VEGFA
NFKB2	BIRC3
ATF2	MCL1
CREB3L4	MCL1
CREB3L1	BCL2
PPARA	ANGPTL4
PPARA	SCP2
PPARD	ACOX2
PPARG	SCD5
RXRA	NR1H3
RXRA	ACSL4
RXRB	CYP4A11
RXRB	CYP27A1
RXRB	FABP4
RXRB	FABP3
RXRB	ACSL1
RXRB	ACSL3
RXRG	SORBS1
RXRG	CPT1C
RXRG	CPT2
RXRG	CYP7A1
RXRG	CYP8B1
RXRG	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DQA2
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DOA
NFYB	HLA-DPB1
NFYB	HLA-DQA1
MAPK8	IL18
MAPK11	TNF
MAPK9	TNF
RFXAP	HLA-DRB4
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ETV4	FOS
FLI1	FOS
STAT3	FOS
ETS1	FOSL1
ETS2	FOSL1
ETS1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
REL	IL1B
CREM	IL2
