TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	ELK1
ELK1	EGR1
PRKACA	MAPK1
MAPK1	STAT3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK8	TP53
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK1	ETS1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
ELK1	SPI1
MAPK8	FOS
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
NOS1	HRAS
HRAS	JUN
MAPK1	ELK1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
MAPK1	TP53
HRAS	MAPK14
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
NOS3	CREB1
ETS1	SPI1
HRAS	FOS
NFAT5	TNF
ATF2	PCNA
MAPK9	SMAD4
CREB5	IL8
CREBBP	EDN1
CREBBP	PFKFB2
CREBBP	VEGFC
EP300	EDN1
EP300	PFKFB2
EP300	VEGFC
HIF1A	EDN1
HIF1A	PFKFB2
TCF7L1	MITF
CREB3L1	MITF
NFKB1	CCL4L2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
EPAS1	VEGFB
ETS1	VEGFA
PIAS2	CDKN2B
IRF1	IL12A
FOXO3	G6PC
PPARA	HMGCS2
PPARA	ACADM
PPARA	ACOX2
PPARG	MMP1
PPARG	PCK2
RXRA	CPT1C
NFYA	HLA-DQA1
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRA
USF2	XRCC6
JUN	ABCA1
ELK1	CCT8
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
REL	EGFR
ATF1	ERBB2
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUN	FOSL1
TP53	RELA
RELA	S100A6
USF2	SERPINE1
SP1	SPN
JUN	SPP1
ATF1	TH
JUN	TIMP1
SMAD4	TIMP1
NFKB1	TNNC1
JUN	TP53
PAX5	TP53
ETV4	VIM
