TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CREBBP	SP1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
ATF6B	PCNA
ATF4	IL8
MAPK10	JUN
CREBBP	ENO2
CREBBP	HK2
CREBBP	PFKFB3
EP300	ENO2
EP300	HK2
EP300	PFKFB3
HIF1A	ENO2
HIF1A	HK2
HIF1A	PFKFB3
CREB3	MITF
CREB3L4	MITF
MITF	TYR
MYC	VEGFA
NFKB1	CCND1
CREB3L4	MCL1
FOXO3	PCK1
PPARA	SCP2
PPARA	FADS2
RXRA	NR1H3
RXRA	CPT1B
NFYA	LOC100507714
NFYA	HLA-DOB
MAPK3	IL18
MAPK8	IL18
CEBPB	ABCB1
USF2	B2M
USF1	CCND1
USF2	CEACAM6
ATF1	CGA
USF1	CTSB
CREB1	CYP11A1
RARB	S100A8
SPI1	SERPINB1
JUN	SFTPA1
POU2F2	SPP1
JUN	TFPI2
CREB1	TH
STAT3	TIMP1
ELK1	TNF
SMAD2	TNNC1
TP53	TP53
POU2F1	TXNRD1
ERG	VWF
