TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	ETS1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	JUN
PRKACA	CREB1
MAPK1	MYC
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
MAPK1	NFKB1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	JUN
NOS3	CREB1
GLI3	WNT4
CREB1	PCNA
MAPK9	SMAD4
CREBBP	CDKN1A
CREBBP	PFKFB2
EP300	CDKN1A
EP300	PFKFB2
HIF1A	CDKN1A
HIF1A	PFKFB2
NFKB1	CCL4L2
RELB	CCL13
PIK3R1	AKT3
RBPJL	PTCRA
RXRB	OLR1
NFKB1	COL1A1
RELA	COL1A1
USF1	CTSB
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	GH2
USF1	GH2
USF2	GH2
ERG	MMP9
SP1	RPL10
USF2	SERPINE1
ETS2	SPP1
ATF1	TH
JUND	TIMP1
NFKB1	TNNC1
NFKB1	TP53
ETV4	VIM
