TNFSF11	TNFRSF11A
TNFRSF11A	TRAF2
TRAF2	MAPK8
MAPK8	JUN
TNFRSF11A	NFKB1
NFKB1	HIF1A
HIF1A	CREBBP
CREBBP	SP1
NFKB1	TP53
MAPK8	ELK1
ELK1	EGR1
NFKB1	SOCS3
SOCS3	STAT3
MAPK8	SMAD3
SOCS3	STAT1
TNFRSF11A	TRAF6
TRAF6	MAPK1
MAPK1	MYC
NFKB1	NOS3
NOS3	CREB1
MAPK8	SMAD4
HIF1A	EP300
HIF1A	ARNT
MAPK8	JUNB
MAPK1	ETS1
MAPK8	FOS
MAPK8	JUND
TNFRSF11A	RELA
NFKB1	CEBPB
NFKB1	PPP2CA
PPP2CA	YAP1
NFKB1	CCND1
CCND1	RBL1
RBL1	E2F4
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
NFKB1	MYB
MAPK1	ESR1
TNFRSF11A	FCGR1A
FCGR1A	PRKCB
PRKCB	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SOCS3	LEPR
LEPR	PPARA
PRKACA	PSEN1
PSEN1	ATF6
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
NOS3	ATF4
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
TRAF2	MTOR
MTOR	PPARG
NFKB1	VEGFA
VEGFA	EGFR
EGFR	SOS1
EGFR	SOS2
PRKACA	ATF3
MAPK1	ETS2
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PPP2CA	WWTR1
ELK1	SPI1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
SOCS3	STAT5A
SOCS3	STAT5B
RB1	TFDP2
LEF1	PPARD
TRAF2	IKBKG
IKBKG	IRF3
CREBBP	RBPJ
NOS3	ATF2
PPP2CA	STAT2
STAT3	STAT4
STAT3	STAT6
RB1	TFDP1
NFKB1	IFNG
CDH5	CTNNB1
CTNNB1	LEF1
LEF1	JUN
CTNNB1	CREBBP
CREBBP	TP53
CDH5	CTNND1
CTNND1	RAC1
RAC1	NFKB1
CTNNB1	MAGI2
