AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	JUN
MAPK1	MYC
NFKB1	MYB
PRKACA	CREB1
PRKACA	RELA
MAPK1	STAT1
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	ESR1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	FOS
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CEBPA	E2F2
CEBPA	E2F3
MAPK1	SMAD3
CREBBP	STAT2
CREBBP	STAT6
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	ATF2
PRKACA	ATF4
PRKACA	MAPK14
MAPK14	MAX
NFKB1	HIF1A
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS2
MAPK1	ETS1
PRKACA	PAX8
PRKACA	ATF1
NFKB1	NFKB2
YAP1	BBC3
PRKACA	MAPK3
NFKB2	RELB
JUP	MYC
GLI2	WNT5A
GLI2	WNT6
GLI2	WNT7A
GLI2	WNT7B
GLI2	WNT8A
GLI2	WNT8B
GLI2	WNT3A
GLI3	GLI1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREBBP	TEK
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS1
STAT5A	SOCS2
STAT5A	SOCS5
STAT6	PIM1
STAT6	CCND1
STAT6	CCND2
NEUROG3	PAX6
PAX6	PDX1
CREB3	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
TP53	SERPINE1
RXRA	ACADL
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYC	HLA-DQA2
MAPK3	NOS2
MAPK3	IL23A
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFX5	LOC100507709
MAPK12	IL1A
SP1	COL4A2
CEBPA	ABCB1
CEBPB	ABCB1
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP1	DKC1
SP3	DKC1
ETS1	DNTT
EGR1	EGFR
PPARG	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
NFKB1	MMP3
RELA	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	THBS1
