AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	NFKB1
NFKB1	TP53
MAPK1	MYC
MAPK1	FOS
MAPK1	ETS1
ETS1	SPI1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PRKACA	RELA
PRKACA	CREB1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
STAT2	CCND1
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
NFYC	HLA-DQA2
MAPK1	NOS2
MAPK1	IL23A
SP2	CD14
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
STAT5A	EGFR
STAT5B	EGFR
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
