AR	PRKACA
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RAF1
RAF1	PIK3R5
RAF1	PIK3CA
RAF1	PIK3CB
RAF1	PIK3CD
RAF1	PIK3CG
RAF1	PIK3R1
RAF1	PIK3R2
RAF1	PIK3R3
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
PRKACA	MAPK8
MAPK8	JUND
PRKACA	MAPK1
MAPK1	FOS
MAPK1	JUN
MAPK1	ETS1
MAPK1	SMAD4
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
NFYA	LOC100507714
RFX5	HLA-DQA1
RFX5	HLA-DQA2
NFATC3	PTGS2
SP1	CAV1
USF1	CTSB
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
