AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT3
MAPK1	STAT1
PRKACA	RELA
MAPK1	FOS
MAPK1	MYC
MAPK1	ETS1
NFKB1	NFKB2
PRKACA	NFATC1
PRKACA	MAPK8
MAPK8	NFATC3
PRKACA	CALML6
CALML6	PPP3CA
PPP3CA	NFATC4
CREB1	IL8
MAPK9	JUN
MAPK9	SMAD4
CREB5	PCNA
CREBBP	PFKFB1
CREBBP	PFKFB2
CREBBP	HKDC1
EP300	PFKFB1
EP300	PFKFB2
EP300	HKDC1
HIF1A	PFKFB1
HIF1A	PFKFB2
TEAD1	AXIN2
TEAD3	GLI2
STAT4	SOCS5
STAT5B	SOCS4
STAT5B	SOCS3
NFKB1	IL1B
NFKB1	CCL4L2
NFKB1	PLAU
NFKB1	PTGS2
NFKB1	TRAF1
NFKB1	TRAF2
NFKB2	TNFSF13B
NFKB2	ICAM1
RELB	ICAM1
RELB	CCL13
PIK3CA	AKT3
PIK3CA	AKT1
PIK3CG	PDPK1
PIK3R1	AKT3
PIK3R3	PDPK1
RBPJL	PTCRA
TP53	SESN1
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
CREB1	HMOX1
CREB1	REN
SP1	SERPINE1
USF2	SERPINE1
ETS1	SPP1
PAX8	TG
ATF1	TH
JUNB	TIMP1
JUN	TNNC1
NFKB1	TNNC1
NFIC	TP53
ERG	VIM
ETV4	VIM
